District,MRiceArea,MRiceYield
COLOMBO,"3,183","3,458"
GAMPAHA,"10,648","3,782"
KALUTARA,"11,084","3,349"
KANDY,"11,035","3,851"
MATALE,"16,880","4,690"
NUWARAELIYA,"4,705","3,417"
GALLE,"10,775","2,986"
MATARA,"13,488","3,808"
HAMBANTOTA,"34,695","5,773"
JAFFNA,"10,424","2,055"
MANNAR,"19,405","4,487"
VAVUNIYA,"12,905","4,223"
MULATIVU,"19,785","3,963"
KILLINOCHCHI,"26,760","4,213"
BATTICALOA,"64,796","3,100"
AMPARA,"81,293","4,562"
TRINCOMALEE,"38,952","4,083"
KURUNEGALA,"47,616","4,418"
PUTTALAM,"5,880","4,163"
ANURADHAPURA,"59,558","4,414"
POLONNARUWA,"65,403","4,848"
BADULLA,"20,252","4,340"
MONARAGALA,"36,373","4,123"
RATNAPURA,"10,000","3,519"
KEGALLE,"5,793","4,372"
UDA WALAWE,"10,492","6,355"
MAHAWELI 'H',"15,011","5,645"
