District,MRiceArea,MRiceYield
COLOMBO,"4,215",2855
GAMPAHA,"12,348",3453
KALUTARA,"13,148",2735
KANDY,"13,178",3610
MATALE,"20,274",4218
NUWARAELIYA,"4,960",3905
GALLE,"12,319",2532
MATARA,"14,567",3406
HAMBANTOTA,"37,347",5468
JAFFNA,"11,408",2889
MANNAR,"22,117",3497
VAVUNIYA,"23,503",2861
MULATIVU,"25,652",3152
KILLINOCHCHI,"27,883",3258
BATTICALOA,"71,433",3088
AMPARA,"80,553",4172
TRINCOMALEE,"48,603",3138
KURUNEGALA,"78,253",3760
PUTTALAM,"19,369",3570
ANURADHAPURA,"118,818",3849
POLONNARUWA,"69,487",4416
BADULLA,"25,766",3662
MONARAGALA,"35,628",4003
RATNAPURA,"14,641",3761
KEGALLE,"7,131",3581
