District,MRiceArea,MRiceYield
COLOMBO,"4,062","3,597"
GAMPAHA,"11,176","3,750"
KALUTARA,"13,638","3,105"
KANDY,"11,992","4,013"
MATALE,"21,168","4,404"
NUWARAELIYA,"5,418","5,282"
GALLE,"14,141","3,552"
MATARA,"15,344","3,960"
HAMBANTOTA,"28,946","6,575"
JAFFNA,"10,219","2,388"
MANNAR,"15,663","5,509"
VAVUNIYA,"18,030","3,722"
MULATIVU *,"14,087","2,685"
KILLINOCHCHI,"22,728","4,221"
BATTICALOA,"66,276","2,088"
AMPARA,"82,921","4,084"
TRINCOMALEE,"35,011","3,424"
KURUNEGALA,"81,580","4,806"
PUTTALAM,"20,354","4,599"
ANURADHAPURA,"100,598","4,467"
POLONNARUWA,"66,372","4,889"
BADULLA,"29,262","4,869"
MONARAGALA,"36,762","4,270"
RATNAPURA,"12,586","3,766"
KEGALLE,"5,093","3,916"
UDA WALAWE,"12,278","6,405"
MAHAWELI 'H',"23,930","5,686"
