District,SRiceArea,SRiceYield
COLOMBO,"3,832","3,172"
GAMPAHA,"7,501","3,243"
KALUTARA,"12,368","2,743"
GALLE,"14,130","3,027"
MATARA,"15,975","3,755"
RATNAPURA,"11,331","3,556"
KEGALLE,"7,431","3,323"
KURUNEGALA,"68,912","3,148"
PUTTALAM,"14,484","3,746"
KANDY,"11,629","3,895"
MATALE,"11,960","3,784"
NUWARAELIYA,"2,087","3,688"
BADULLA,"12,746","4,605"
MONARAGALA,"13,716","4,272"
JAFFNA *,-,-
KILLINOCHCHI**,"4,413","3,086"
VAVUNIYA,"4,969","4,390"
MULATIVU**,"3,143","2,963"
MANNAR**,984,"4,288"
ANURADHAPURA,"49,133","4,396"
POLONNARUWA,"54,481","4,971"
TRINCOMALEE,"15,296","4,504"
BATTICALOA,"17,728","3,943"
AMPARA,"60,168","4,927"
HAMBANTOTA,"24,500","4,725"
UDA WALAWE,"10,718","6,198"
MAHAWELI 'H',"17,758","5,403"
