District,MRiceArea,MRiceYield
COLOMBO,"2,242",3437
GAMPAHA,"7,932",3340
KALUTARA,"8,838",3565
KANDY,"8,560",4377
MATALE,"9,349",4523
NUWARAELIYA,"4,322",3897
GALLE,"8,118",3543
MATARA,"11,579",4584
HAMBANTOTA,"22,011",5253
JAFFNA,"10,049",2021
MANNAR,"14,565",4242
VAVUNIYA,"11,015",4334
MULATIVU,"15,662",2957
KILLINOCHCHI,"24,956",3983
BATTICALOA,"62,836",2516
AMPARA,"81,458",4785
TRINCOMALEE,"29,236",4356
KURUNEGALA,"46,788",4540
PUTTALAM,"11,536",3625
ANURADHAPURA,"37,853",4608
POLONNARUWA*,"49,621",5080
BADULLA,"19,793",4401
MONARAGALA,"25,680",3922
RATNAPURA,"7,955",3697
KEGALLE,"3,691",3996
UDA WALAWE,"1,206",5085
MAHAWELI 'H',"5,705",5241
