District,MRiceArea,MRiceYield
COLOMBO,"3,657",3402
GAMPAHA,"10,634",3159
KALUTARA,"11,547",3032
KANDY,"12,821",3836
MATALE,"18,876",4333
NUWARAELIYA,"4,527",4238
GALLE,"7,014",2993
MATARA,"10,376",3158
HAMBANTOTA,"36,527",5668
JAFFNA,"11,362",2691
MANNAR,"27,982",4327
VAVUNIYA,"23,412",3878
MULATIVU,"25,642",3009
KILLINOCHCHI,"27,861",2005
BATTICALOA,"71,539",2410
AMPARA,"81,373",3933
TRINCOMALEE,"48,483",3409
KURUNEGALA,"75,307",3592
PUTTALAM,"20,652",3843
ANURADHAPURA,"125,501",4637
POLONNARUWA,"69,983",4697
BADULLA,"26,056",4494
MONARAGALA,"36,485",4142
RATNAPURA,"12,930",4301
KEGALLE,"6,126",3622
