District,SRiceArea,SRiceYield
COLOMBO,892,3064
GAMPAHA,"5,500",3250
KALUTARA,"5,076",2857
KANDY,"5,858",3399
MATALE,"4,621",5259
NUWARAELIYA,"1,487",2715
GALLE,"3,333",3012
MATARA,"11,306",3240
HAMBANTOTA,"32,702",5726
JAFFNA,-,-
MANNAR,925,5514
VAVUNIYA,"2,364",5363
MULATIVU,"5,294",5081
KILLINOCHCHI,"9,581",5183
BATTICALOA,"27,444",3683
AMPARA,"56,055",5377
TRINCOMALEE,"18,375",4978
KURUNEGALA,"39,148",4015
PUTTALAM,"8,460",4479
ANURADHAPURA,"33,412",5119
POLONNARUWA,"61,624",5511
BADULLA,"11,270",5120
MONARAGALA,"14,146",5122
RATNAPURA,"7,349",4834
KEGALLE,"2,684",2882
