District,SRiceArea,SRiceYield
COLOMBO,402,2567
GAMPAHA,"1,903",2703
KALUTARA,"2,799",2954
KANDY,"7,565",3533
MATALE,"7,414",4886
NUWARAELIYA,"2,017",3297
GALLE,"1,199",3148
MATARA,"6,404",3719
HAMBANTOTA,"22,444",5259
JAFFNA,-,-
MANNAR,"2,416",4162
VAVUNIYA,"3,371",4165
MULATIVU,"5,344",4297
KILLINOCHCHI,"2,442",4360
BATTICALOA,"27,360",3536
AMPARA,"64,004",4766
TRINCOMALEE,"20,963",4895
KURUNEGALA,"50,190",3537
PUTTALAM,"14,150",3282
ANURADHAPURA,"38,701",4295
POLONNARUWA,"56,264",5047
BADULLA,"12,679",4415
MONARAGALA,"9,405",4363
RATNAPURA,"6,205",4172
KEGALLE,"2,462",3349
UDAWALAWE,"10,588",6365
MAHAWELI'H',"6,627",5111
