District,MRiceArea,MRiceYield
COLOMBO,"2,864","3,521"
GAMPAHA,"9,714","4,240"
KALUTARA,"9,556","3,641"
KANDY,"11,004","4,422"
MATALE,"18,458","5,316"
NUWARAELIYA,"1,735","3,608"
GALLE,"7,949","3,980"
MATARA,"11,746","3,886"
HAMBANTOTA,"34,978","6,302"
JAFFNA,"10,445","3,628"
MANNAR,"19,367","4,827"
VAVUNIYA,"19,241","4,951"
MULATIVU,"18,259","4,644"
KILLINOCHCHI,"27,165","4,158"
BATTICALOA,"66,996","3,783"
AMPARA,"79,417","4,764"
TRINCOMALEE,"38,285","4,375"
KURUNEGALA,"82,478","4,732"
PUTTALAM,"20,564","4,652"
ANURADHAPURA,"118,902","5,574"
POLONNARUWA,"67,016","5,404"
BADULLA,"25,641","4,405"
MONARAGALA,"34,356","4,796"
RATNAPURA,"10,756","5,097"
KEGALLE,"5,356","4,558"
