District,SRiceArea,SRiceYield
COLOMBO,"2,521",2455
GAMPAHA,"9,954",2991
KALUTARA,"9,766",3048
KANDY,"9,278",2945
MATALE,"12,343",4639
NUWARAELIYA,"2,573",3917
GALLE,"8,548",2897
MATARA,"14,082",3727
HAMBANTOTA,"34,490",5814
JAFFNA,-,-
MANNAR,"2,740",4931
VAVUNIYA,"5,012",5638
MULATIVU,"7,383",5287
KILLINOCHCHI,"10,071",4620
BATTICALOA,"28,502",4665
AMPARA,"62,860",5229
TRINCOMALEE,"25,239",5267
KURUNEGALA,"68,573",4024
PUTTALAM,"18,602",3950
ANURADHAPURA,"62,104",4691
POLONNARUWA,"62,626",5441
BADULLA,"12,098",5088
MONARAGALA,"15,852",5034
RATNAPURA,"10,773",4119
KEGALLE,"5,477",2991
