District,MRiceArea,MRiceYield
COLOMBO,"4,506","3,554"
GAMPAHA,"10,826","3,353"
KALUTARA,"14,684","3,115"
GALLE,"15,930","3,032"
MATARA,"16,171","3,631"
RATNAPURA,"12,995","3,462"
KEGALLE,"8,179","3,721"
KURUNEGALA,"77,291","3,940"
PUTTALAM,"19,680","3,976"
KANDY,"14,071","3,768"
MATALE,"19,374","3,759"
NUWARAELIYA,"5,576","4,145"
BADULLA,"27,225","4,484"
MONARAGALA,"26,529","4,413"
JAFFNA,"8,171","2,506"
KILLINOCHCHI **,-,-
VAVUNIYA *,"6,709","4,689"
MULATIVU **,-,-
MANNAR *,"5,352","3,670"
ANURADHAPURA,"80,724","4,633"
POLONNARUWA,"57,298","5,223"
TRINCOMALEE,"23,014","4,463"
BATTICALOA,"45,905","3,639"
AMPARA,"69,979","5,158"
HAMBANTOTA,"25,575","5,295"
UDA WALAWE,"11,517","6,517"
MAHAWELI 'H',"24,849","6,036"
