District,SRiceArea,SRiceYield
COLOMBO,"1,175",3259
GAMPAHA,"6,163",3210
KALUTARA,"6,178",3034
KANDY,"6,389",4197
MATALE,"7,967",4561
NUWARAELIYA,"2,522",4041
GALLE,"3,945",3204
MATARA,"12,223",3866
HAMBANTOTA,"24,771",6252
JAFFNA,-,-
MANNAR,479,4777
VAVUNIYA,450,4029
MULATIVU,"1,635",4151
KILLINOCHCHI,948,4773
BATTICALOA,"25,655",4104
AMPARA,"44,262",4840
TRINCOMALEE,"20,353",4994
KURUNEGALA,"50,261",3899
PUTTALAM,"13,001",4524
ANURADHAPURA,"21,241",5262
POLONNARUWA,"61,559",5070
BADULLA,"10,810",4673
MONARAGALA,"12,820",3684
RATNAPURA,"7,293",4042
KEGALLE,"4,663",3124
UDAWALAWE,"10,518",6560
MAHAWELI'H',"16,482",5681
