District,MRiceArea,MRiceYield
COLOMBO,"3,484",3431
GAMPAHA,"11,154",3594
KALUTARA,"13,020",3644
KANDY,"12,135",4203
MATALE,"20,365",4602
NUWARAELIYA,"5,237",3717
GALLE,"13,130",3738
MATARA,"14,447",4266
HAMBANTOTA,"27,175",6134
JAFFNA,"10,038",3096
MANNAR,"17,321",5489
VAVUNIYA,"16,841",4816
MULATIVU,"14,613",3330
KILLINOCHCHI,"23,675",3689
BATTICALOA,"61,014",2686
AMPARA,"83,133",4078
TRINCOMALEE,"34,470",4473
KURUNEGALA,"79,375",3609
PUTTALAM,"20,116",4028
ANURADHAPURA,"99,814",4802
POLONNARUWA,"74,766",5306
BADULLA,"27,057",4761
MONARAGALA,"36,038",3993
RATNAPURA,"11,751",3924
KEGALLE,"6,240",3857
UDA WALAWE,"12,366",6425
MAHAWELI 'H',"23,851",6484
