District,SRiceArea,SRiceYield
COLOMBO,"2,378","2,999"
GAMPAHA,"5,461","3,415"
KALUTARA,"11,499","2,430"
KANDY,"9,127","3,737"
MATALE,"10,718","4,202"
NUWARAELIYA,"2,946","4,208"
GALLE,"10,560","2,924"
MATARA,"15,401","3,299"
HAMBANTOTA,"25,339","5,047"
JAFFNA,-,-
KILLINOCHCHI,"6,518","2,616"
MANNAR,"1,818","3,842"
VAVUNIYA,"4,272","4,151"
MULATIVU,"3,433","3,669"
BATTICALOA,"21,699","4,031"
AMPARA,"61,904","4,863"
TRINCOMALEE,"18,514","4,710"
KURUNEGALA,"68,619","3,758"
PUTTALAM,"17,521","3,684"
ANURADHAPURA,"54,471","4,775"
POLONNARUWA,"61,666","5,028"
BADULLA,"13,179","4,395"
MONARAGALA,"15,764","4,123"
RATNAPURA,"11,734","3,315"
KEGALLE,"7,024","2,756"
UDA WALAWE,"13,882","6,532"
MAHAWELI 'H',"17,558","5,373"
