District,MRiceArea,MRiceYield
COLOMBO,"3,765","3,551"
GAMPAHA,"10,646","3,188"
KALUTARA,"12,744","2,915"
GALLE,"12,703","3,653"
MATARA,"13,890","3,882"
RATNAPURA,"11,903","4,053"
KEGALLE,"6,088","3,344"
KURUNEGALA,"61,138","4,062"
PUTTALAM,"13,944","4,072"
KANDY,"12,026","4,187"
MATALE,"18,578","3,956"
NUWARAELIYA,"5,031","4,403"
BADULLA,"27,637","4,872"
MONARAGALA,"34,814","3,969"
JAFFNA,"10,180","1,547"
KILLINOCHCHI,"22,897","4,218"
VAVUNIYA,"8,377","3,408"
MULATIVU*,"12,797","2,563"
MANNAR,"5,313","5,254"
ANURADHAPURA,"52,789","3,898"
POLONNARUWA,"62,200","4,819"
TRINCOMALEE,"26,133","4,830"
BATTICALOA,"62,204","3,024"
AMPARA,"81,940","4,885"
HAMBANTOTA,"26,882","5,592"
UDA WALAWE,"12,029","5,811"
MAHAWELI 'H',"22,641","5,868"
