District,SRiceArea,SRiceYield
COLOMBO,"3,615","3,004"
GAMPAHA,"8,106","3,390"
KALUTARA,"12,872","2,898"
GALLE,"13,120","2,997"
MATARA,"15,722","3,628"
RATNAPURA,"11,978","3,277"
KEGALLE,"7,617","3,374"
KURUNEGALA,"48,916","3,534"
PUTTALAM,"15,258","3,653"
KANDY,"9,262","3,545"
MATALE,"6,406","3,642"
NUWARAELIYA,"2,884","2,913"
BADULLA,"8,168","4,673"
MONARAGALA,"8,341","3,645"
JAFFNA,-,-
KILLINOCHCHI**,-,-
VAVUNIYA,253,"3,998"
MULATIVU**,-,-
MANNAR**,-,-
ANURADHAPURA,"18,226","4,426"
POLONNARUWA,"36,862","4,737"
TRINCOMALEE,"13,950","4,851"
BATTICALOA,"17,073","4,189"
AMPARA,"46,227","4,964"
HAMBANTOTA,"21,905","5,017"
UDA WALAWE,"12,188","6,105"
MAHAWELI 'H',"6,481","4,821"
