District,MRiceArea,MRiceYield
COLOMBO,"3,767","3,502"
GAMPAHA,"9,360","3,495"
KALUTARA,"13,476","2,884"
GALLE,"14,679","3,190"
MATARA,"14,865","3,887"
RATNAPURA,"12,025","3,305"
KEGALLE,"7,486","3,749"
KURUNEGALA,"75,351","3,838"
PUTTALAM,"12,284","3,834"
KANDY,"13,476","3,764"
MATALE,"19,119","3,559"
NUWARAELIYA,"5,627","3,929"
BADULLA,"25,331","4,094"
MONARAGALA,"25,827","3,993"
JAFFNA,"7,566","2,887"
KILLINOCHCHI *,"14,650","2,803"
VAVUNIYA *,"6,422","3,587"
MULATIVU *,"6,596","3,430"
MANNAR *,"4,894","3,640"
ANURADHAPURA,"72,717","4,311"
POLONNARUWA,"55,529","4,900"
TRINCOMALEE,"18,987","4,381"
BATTICALOA,"19,134","3,661"
AMPARA,"64,490","4,864"
HAMBANTOTA,"24,234","4,762"
UDA WALAWE,"9,527","5,661"
MAHAWELI 'H',"24,178","5,501"
