District,SRiceArea,SRiceYield
COLOMBO,910,"3,002"
GAMPAHA,"3,571","3,258"
KALUTARA,"7,232","2,398"
KANDY,"5,558","3,642"
MATALE,"5,638","3,686"
NUWARAELIYA,"1,144","3,087"
GALLE,"4,212","3,075"
MATARA,"12,476","3,050"
HAMBANTOTA,"21,403","4,919"
JAFFNA*,-,-
MANNAR,"2,201","3,759"
VAVUNIYA,"1,156","3,788"
MULATIVU,"2,588","3,590"
KILLINOCHCHI,"5,771","4,032"
BATTICALOA,"23,887","3,965"
AMPARA,"60,864","4,729"
TRINCOMALEE,"16,107","4,455"
KURUNEGALA,"41,517","3,413"
PUTTALAM,"6,341","3,582"
ANURADHAPURA,"26,568","4,049"
POLONNARUWA,"53,452","4,199"
BADULLA,"11,676","4,208"
MONARAGALA,"13,468","3,956"
RATNAPURA,"9,743","3,447"
KEGALLE,"2,882","2,728"
UDA WALAWE,"11,644","5,052"
MAHAWELI 'H',"12,533","5,316"
