District,SRiceArea,SRiceYield
COLOMBO,983,"3,073"
GAMPAHA,"5,171","3,179"
KALUTARA,"6,272","2,817"
KANDY,"8,118","3,667"
MATALE,"6,507","4,169"
NUWARAELIYA,"1,839","4,274"
GALLE,"4,767","2,735"
MATARA,"11,221","3,398"
HAMBANTOTA,"21,524","4,627"
JAFFNA*,-,-
MANNAR,"1,726","3,970"
VAVUNIYA,"1,557","4,507"
MULATIVU **,440,"3,633"
KILLINOCHCHI,324,"4,238"
BATTICALOA,"20,282","4,137"
AMPARA,"44,377","4,700"
TRINCOMALEE,"7,394","4,446"
KURUNEGALA,"59,599","3,453"
PUTTALAM,"10,741","3,927"
ANURADHAPURA,"17,542","4,461"
POLONNARUWA,"34,553","4,902"
BADULLA,"12,843","4,751"
MONARAGALA,"8,814","3,778"
RATNAPURA,"7,412","3,525"
KEGALLE,"3,969","2,763"
UDA WALAWE,"10,277","6,363"
MAHAWELI 'H',"4,727","4,887"
