District,SRiceArea,SRiceYield
COLOMBO,879,"3,346"
GAMPAHA,"2,407","3,656"
KALUTARA,"7,135","3,060"
GALLE,"5,871","3,262"
MATARA,"13,345","3,712"
RATNAPURA,"7,437","3,970"
KEGALLE,"5,159","3,291"
KURUNEGALA,"28,729","3,755"
PUTTALAM,"5,320","4,145"
KANDY,"8,157","3,903"
MATALE,"5,585","4,086"
NUWARAELIYA *,"2,072","3,703"
BADULLA,"10,705","4,639"
MONARAGALA,"8,926","4,377"
JAFFNA,-,-
KILLINOCHCHI *,"3,561","3,507"
VAVUNIYA *,586,"4,446"
MULATIVU *,"1,862","3,765"
MANNAR *,843,"4,224"
ANURADHAPURA,"14,635","4,804"
POLONNARUWA,"49,558","5,057"
TRINCOMALEE *,"10,368","4,376"
BATTICALOA,"2,705","3,680"
AMPARA,"53,787","4,993"
HAMBANTOTA,"20,923","4,940"
UDA WALAWE,"9,381","5,641"
MAHAWELI 'H',"11,440","5,136"
