District,SRiceArea,SRiceYield
COLOMBO,"2,218",2371
GAMPAHA,"8,660",2557
KALUTARA,"9,132",2487
KANDY,"9,900",3762
MATALE,"11,757",3976
NUWARAELIYA,"2,439",4119
GALLE,"5,683",2169
MATARA,"12,972",2999
HAMBANTOTA,"34,947",5087
JAFFNA,-,-
MANNAR,"2,374",4826
VAVUNIYA,"5,703",4071
MULATIVU,"5,752",4418
KILLINOCHCHI,"6,882",3988
BATTICALOA,"33,566",3557
AMPARA,"63,184",4338
TRINCOMALEE,"28,649",4771
KURUNEGALA,"65,288",3447
PUTTALAM,"17,672",3810
ANURADHAPURA,"65,524",4302
POLONNARUWA,"66,033",4918
BADULLA,"13,199",4554
MONARAGALA,"16,561",4026
RATNAPURA,"10,487",4195
KEGALLE,"6,494",2974
