District,MRiceArea,MRiceYield
COLOMBO,"3,232","3,509"
GAMPAHA,"10,344","3,717"
KALUTARA,"10,297","3,642"
KANDY,"11,112","4,289"
MATALE,"19,115","5,260"
NUWARAELIYA,"4,660","4,998"
GALLE,"8,313","3,247"
MATARA,"12,950","4,160"
HAMBANTOTA,"34,164","6,622"
JAFFNA,"10,588","4,224"
MANNAR,"19,267","5,112"
VAVUNIYA,"19,207","5,594"
MULATIVU,"16,617","4,915"
KILLINOCHCHI,"26,765","3,599"
BATTICALOA,"67,214","3,206"
AMPARA,"79,982","5,030"
TRINCOMALEE,"38,587","4,241"
KURUNEGALA,"80,370","4,711"
PUTTALAM,"20,681","4,584"
ANURADHAPURA,"109,813","5,414"
POLONNARUWA,"65,970","5,075"
BADULLA,"25,670","4,708"
MONARAGALA,"36,044","4,911"
RATNAPURA,"11,175","4,688"
KEGALLE,"5,890","4,721"
