District,MRiceArea,MRiceYield
COLOMBO,"3,354","3,033"
GAMPAHA,"8,402","3,134"
KALUTARA,"12,511","3,170"
GALLE,"12,395","3,418"
MATARA,"13,176","3,692"
RATNAPURA,"11,136","3,342"
KEGALLE,"8,233","3,143"
KURUNEGALA,"71,731","4,035"
PUTTALAM,"12,579","3,962"
KANDY,"12,042","3,710"
MATALE,"15,281","3,866"
NUWARAELIYA,"5,335","3,459"
BADULLA,"22,266","4,434"
MONARAGALA,"23,544","4,089"
JAFFNA,"6,918","2,141"
KILLINOCHCHI,"16,488","3,344"
VAVUNIYA,"4,064","4,327"
MULATIVU,"9,568","3,624"
MANNAR,"5,668","3,874"
ANURADHAPURA,"57,562","4,726"
POLONNARUWA,"50,565","5,119"
TRINCOMALEE,"16,287","4,261"
BATTICALOA,"18,469","2,891"
AMPARA,"51,803","4,934"
HAMBANTOTA,"22,320","5,215"
UDA WALAWE,"9,460","5,636"
MAHAWELI 'H',"24,183","5,563"
