District,SRiceArea,SRiceYield
COLOMBO,946,2720
GAMPAHA,"2,728",2672
KALUTARA,"5,785",3228
KANDY,"6,277",4162
MATALE,"5,457",4277
NUWARAELIYA,"1,142",3619
GALLE,"4,919",2448
MATARA,"11,921",3491
HAMBANTOTA,"20,967",5348
JAFFNA,_,_
MANNAR,101,2839
VAVUNIYA,487,4361
MULATIVU,934,3209
KILLINOCHCHI,"1,429",4006
BATTICALOA,"24,211",3431
AMPARA,"46,302",4251
TRINCOMALEE,"8,977",4843
KURUNEGALA,"15,824",3940
PUTTALAM,"2,463",4024
ANURADHAPURA,"8,525",3909
POLONNARUWA,"40,882",4878
BADULLA,"8,668",4434
MONARAGALA,"9,900",4502
RATNAPURA,"6,070",3267
KEGALLE,"1,676",2871
UDAWALAWE,"6,225",5770
MAHAWELI'H',"6,307",4770
