District,MRiceArea,MRiceYield
COLOMBO,"4,651","2,706"
GAMPAHA,"13,041","3,061"
KALUTARA,"15,024","2,917"
KANDY,"13,828","3,121"
MATALE,"19,814","3,599"
NUWARAELIYA,"5,584","3,847"
GALLE,"16,697","2,968"
MATARA,"15,925","3,474"
HAMBANTOTA,"36,084","5,779"
JAFFNA,"9,221","2,659"
KILLINOCHCHI,"20,224","2,854"
MANNAR,"11,693","4,001"
VAVUNIYA,"13,689","4,139"
MULATIVU,"10,753","2,456"
BATTICALOA,"59,520","2,399"
AMPARA,"70,819","3,333"
TRINCOMALEE,"30,331","2,388"
KURUNEGALA,"81,263","3,319"
PUTTALAM,"20,253","3,641"
ANURADHAPURA,"113,113","4,463"
POLONNARUWA,"65,396","3,831"
BADULLA,"27,733","3,324"
MONARAGALA,"30,587","4,077"
RATNAPURA,"16,595","3,519"
KEGALLE,"8,212","2,993"
