District,SRiceArea,SRiceYield
COLOMBO,"1,257","2,522"
GAMPAHA,"4,813","2,934"
KALUTARA,"6,906","2,539"
GALLE,"4,057","2,670"
MATARA,"11,331","3,475"
RATNAPURA,"8,465","3,941"
KEGALLE,"4,725","2,783"
KURUNEGALA,"52,461","3,619"
PUTTALAM,"11,533","3,856"
KANDY,"8,459","3,691"
MATALE,"9,318","4,617"
NUWARAELIYA,"1,832","3,196"
BADULLA,"13,485","4,443"
MONARAGALA,"15,346","3,696"
JAFFNA,-,-
KILLINOCHCHI,"5,825","5,630"
VAVUNIYA,"5,270","4,813"
MULATIVU,"3,896","5,227"
MANNAR,"2,248","5,694"
ANURADHAPURA,"46,888","4,284"
POLONNARUWA,"62,503","4,725"
TRINCOMALEE,"23,012","4,758"
BATTICALOA,"27,556","4,603"
AMPARA,"64,403","4,833"
HAMBANTOTA,"25,896","4,987"
UDA WALAWE,"11,994","6,198"
MAHAWELI 'H',"14,134","4,865"
