District,MRiceArea,MRiceYield
COLOMBO,"3,857",3723
GAMPAHA,"12,450",3751
KALUTARA,"13,019",3358
KANDY,"12,186",4720
MATALE,"18,908",5669
NUWARAELIYA,"4,877",5020
GALLE,"13,511",3403
MATARA,"14,114",3585
HAMBANTOTA,"34,912",5883
JAFFNA,"11,228",2549
MANNAR,"20,242",5228
VAVUNIYA,"19,376",4253
MULATIVU,"22,781",4266
KILLINOCHCHI,"27,358",3500
BATTICALOA,"67,074",3809
AMPARA,"81,149",4780
TRINCOMALEE,"39,838",4250
KURUNEGALA,"76,057",3775
PUTTALAM,"19,654",3746
ANURADHAPURA,"112,549",5098
POLONNARUWA,"66,523",5220
BADULLA,"23,568",4859
MONARAGALA,"34,900",4599
RATNAPURA,"13,358",4465
KEGALLE,"6,751",4163
