District,MRiceArea,MRiceYield
COLOMBO,"4,764","3,505"
GAMPAHA,"12,534","3,451"
KALUTARA,"15,369","3,208"
GALLE,"17,156","3,286"
MATARA,"15,908","3,641"
RATNAPURA,"13,485","3,318"
KEGALLE,"8,337","3,791"
KURUNEGALA,"68,758","4,033"
PUTTALAM,"14,415","3,973"
KANDY,754,934
MATALE,"20,248","4,494"
NUWARAELIYA,"5,586","4,134"
BADULLA,"27,023","4,324"
MONARAGALA,"27,360","4,413"
JAFFNA,"8,948","2,605"
KILLINOCHCHI *,-,-
VAVUNIYA,"4,830","5,367"
MULATIVU,"2,180","5,316"
MANNAR,"8,093","5,403"
ANURADHAPURA,"81,463","4,924"
POLONNARUWA,"60,312","5,336"
TRINCOMALEE,"26,535","4,332"
BATTICALOA,"54,855","4,031"
AMPARA,"69,861","5,368"
HAMBANTOTA,"26,098","5,183"
UDA WALAWE,"13,068","6,275"
MAHAWELI 'H',"25,012","6,476"
