District,SRiceArea,SRiceYield
COLOMBO,"3,219",3281
GAMPAHA,"10,444",3445
KALUTARA,"11,653",3380
KANDY,"8,837",4099
MATALE,"8,221",5034
NUWARAELIYA,"4,406",4512
GALLE,"11,551",2837
MATARA,"13,913",3573
HAMBANTOTA,"34,167",5986
JAFFNA,-,-
MANNAR,"1,610",5372
VAVUNIYA,"1,473",5520
MULATIVU,"5,461",5147
KILLINOCHCHI,"10,034",5250
BATTICALOA,"28,955",4582
AMPARA,"61,295",5003
TRINCOMALEE,"22,112",5268
KURUNEGALA,"58,127",4397
PUTTALAM,"15,182",4343
ANURADHAPURA,"39,334",4936
POLONNARUWA,"62,373",5244
BADULLA,"11,663",4973
MONARAGALA,"14,400",4922
RATNAPURA,"11,462",4403
KEGALLE,"6,314",3731
