District,MRiceArea,MRiceYield
COLOMBO,"2,896",3414
GAMPAHA,"9,989",3849
KALUTARA,"11,736",3358
KANDY,"11,747",3764
MATALE,"19,858",4460
NUWARAELIYA,"4,866",3779
GALLE,"10,174",2965
MATARA,"12,100",4055
HAMBANTOTA,"27,848",5418
JAFFNA,"10,252",2352
MANNAR,"18,698",4999
VAVUNIYA,"17,478",4359
MULATIVU,"16,046",3622
KILLINOCHCHI,"24,168",3959
BATTICALOA,"61,988",3022
AMPARA,"80,986",4467
TRINCOMALEE,"34,698",4570
KURUNEGALA,"80,778",4131
PUTTALAM,"20,090",3996
ANURADHAPURA,"96,254",4748
POLONNARUWA,"65,202",5056
BADULLA,"27,289",4303
MONARAGALA,"37,683",3817
RATNAPURA,"11,163",3877
KEGALLE,"5,757",3933
UDA WALAWE,"12,224",5907
MAHAWELI 'H',"24,037",6284
