District,SRiceArea,SRiceYield
COLOMBO,"1,309",2275
GAMPAHA,"4,592",3252
KALUTARA,"7,796",3495
KANDY,"8,552",3647
MATALE,"10,186",4202
NUWARAELIYA,"2,157",3943
GALLE,"5,694",2649
MATARA,"13,655",3861
HAMBANTOTA,"26,302",5279
JAFFNA,-,-
MANNAR,"2,976",4954
VAVUNIYA,"5,722",4683
MULATIVU,"6,969",4540
KILLINOCHCHI,"6,854",4634
BATTICALOA,"27,011",4811
AMPARA,"65,973",4906
TRINCOMALEE,"22,294",4745
KURUNEGALA,"62,649",3562
PUTTALAM,"15,327",3817
ANURADHAPURA,"50,398",4612
POLONNARUWA,"62,135",5131
BADULLA,"13,074",4459
MONARAGALA,"15,415",4011
RATNAPURA,"8,311",3688
KEGALLE,"4,723",3437
UDA WALAWE,"12,524",6062
MAHAWELI 'H',"18,064",5526
