District,SRiceArea,SRiceYield
COLOMBO,"2,880",2207
GAMPAHA,"9,850",2493
KALUTARA,"10,765",2330
KANDY,"10,090",3227
MATALE,"12,716",2768
NUWARAELIYA,"2,873",3704
GALLE,"10,615",2194
MATARA,"13,321",2730
HAMBANTOTA,"33,031",4612
JAFFNA,-,-
MANNAR,"2,275",3425
VAVUNIYA,"5,485",4368
MULATIVU,"6,891",3558
KILLINOCHCHI,"10,333",2945
BATTICALOA,"28,696",2950
AMPARA,"62,686",3708
TRINCOMALEE,"24,491",4026
KURUNEGALA,"56,830",2775
PUTTALAM,"13,408",2755
ANURADHAPURA,"59,918",3248
POLONNARUWA,"58,636",4288
BADULLA,"12,594",3349
MONARAGALA,"15,571",3414
RATNAPURA,"11,610",3356
KEGALLE,"6,104",2548
