District,SRiceArea,SRiceYield
COLOMBO,"1,579",1975
GAMPAHA,"6,017",2831
KALUTARA,"5,965",2694
KANDY,"8,846",2859
MATALE,"10,669",4500
NUWARAELIYA,"2,132",3905
GALLE,"3,859",2602
MATARA,"10,649",2936
HAMBANTOTA,"35,253",5381
JAFFNA,-,-
MANNAR,"2,980",2184
VAVUNIYA,"5,516",4175
MULATIVU,"8,222",4198
KILLINOCHCHI,"9,209",4339
BATTICALOA,"33,652",3589
AMPARA,"63,165",5532
TRINCOMALEE,"28,773",5053
KURUNEGALA,"57,102",3708
PUTTALAM,"16,094",3609
ANURADHAPURA,"61,699",4863
POLONNARUWA,"66,614",5716
BADULLA,"12,193",4992
MONARAGALA,"16,459",4334
RATNAPURA,"10,331",4566
KEGALLE,"4,338",2884
