District,Month,Cases,Year
Matale,10,6,2007
Matara,10,44,2007
Monaragala,10,2,2007
Mullaitivu,10,0,2007
Nuwara Eliya,10,1,2007
Polonnaruwa,10,0,2007
Puttalam,10,2,2007
Ratnapura,10,9,2007
Trincomalee,10,0,2007
Vavuniya,10,0,2007
Ampara,11,0,2007
Anuradhapura,11,0,2007
Badulla,11,1,2007
Batticaloa,11,0,2007
Colombo,11,9,2007
Galle,11,20,2007
Gampaha,11,55,2007
Hambantota,11,5,2007
Jaffna,11,0,2007
Kalutara,11,28,2007
Kandy,11,9,2007
Kegalle,11,55,2007
Kilinochchi,11,0,2007
Kurunegala,11,16,2007
Mannar,11,0,2007
Matale,11,8,2007
Matara,11,48,2007
Monaragala,11,0,2007
Mullaitivu,11,0,2007
Nuwara Eliya,11,3,2007
Polonnaruwa,11,0,2007
Puttalam,11,2,2007
Ratnapura,11,12,2007
Trincomalee,11,0,2007
Vavuniya,11,1,2007
Ampara,12,5,2007
Anuradhapura,12,16,2007
Badulla,12,3,2007
Batticaloa,12,0,2007
Colombo,12,26,2007
Galle,12,64,2007
Gampaha,12,49,2007
Hambantota,12,11,2007
Jaffna,12,0,2007
Kalutara,12,47,2007
Kandy,12,59,2007
Kegalle,12,43,2007
Kilinochchi,12,0,2007
Kurunegala,12,17,2007
Mannar,12,0,2007
Matale,12,67,2007
Matara,12,35,2007
Monaragala,12,9,2007
Mullaitivu,12,0,2007
Nuwara Eliya,12,2,2007
Polonnaruwa,12,1,2007
Puttalam,12,4,2007
Ratnapura,12,8,2007
Trincomalee,12,1,2007
Vavuniya,12,0,2007
Ampara,1,1,2008
Anuradhapura,1,1,2008
Badulla,1,3,2008
Batticaloa,1,0,2008
Colombo,1,13,2008
Galle,1,34,2008
Gampaha,1,11,2008
Hambantota,1,11,2008
Jaffna,1,0,2008
Kalutara,1,30,2008
Kandy,1,15,2008
Kegalle,1,8,2008
Kilinochchi,1,0,2008
Kurunegala,1,5,2008
Mannar,1,0,2008
Matale,1,54,2008
Matara,1,16,2008
Monaragala,1,10,2008
Mullaitivu,1,0,2008
Nuwara Eliya,1,1,2008
Polonnaruwa,1,0,2008
Puttalam,1,1,2008
Ratnapura,1,3,2008
Trincomalee,1,0,2008
Vavuniya,1,0,2008
Ampara,2,3,2008
Anuradhapura,2,10,2008
Badulla,2,2,2008
Batticaloa,2,0,2008
Colombo,2,5,2008
Galle,2,8,2008
Gampaha,2,7,2008
Hambantota,2,6,2008
Jaffna,2,0,2008
Kalutara,2,20,2008
Kandy,2,10,2008
Kegalle,2,3,2008
Kilinochchi,2,0,2008
Kurunegala,2,2,2008
Mannar,2,0,2008
Matale,2,35,2008
Matara,2,10,2008
Monaragala,2,1,2008
Mullaitivu,2,0,2008
Nuwara Eliya,2,4,2008
Polonnaruwa,2,4,2008
Puttalam,2,0,2008
Ratnapura,2,7,2008
