District,Month,Cases,Year,YearMonth,Precipitation_mm,Temp_Min_C,Temp_Max_C,Soil_Moisture_0_7cm,MRiceArea,MRiceYield,SRiceArea,SRiceYield,Population,Households
Badulla,3,1,2008,2008-03,291.69998,16.561,27.311,0.45868012,"25,331","4,094","12,746","4,605",797275,196510
Batticaloa,3,0,2008,2008-03,319.59998,22.9,30.8,0.34806854,"19,134","3,661","17,728","3,943",505292,124192
Colombo,3,30,2008,2008-03,323.30002,22.261,30.561,0.3907043,"3,767","3,502","3,832","3,172",2307572,540033
Galle,3,29,2008,2008-03,289.8,23.5325,29.7825,0.47490594,"14,679","3,190","14,130","3,027",1052224,258326
Gampaha,3,34,2008,2008-03,387.5,21.724,31.024,0.46714786,"9,360","3,495","7,501","3,243",2262655,572615
Hambantota,3,10,2008,2008-03,261.5,22.002,30.502,0.37223792,"24,234","4,762","24,500","4,725",577799,146693
Jaffna,3,0,2008,2008-03,205.7,23.274,29.674002,0.34264922,"7,566","2,887",,,580303,129794
Kalutara,3,40,2008,2008-03,323.30002,22.337,29.487,0.47329837,"13,476","2,884","12,368","2,743",1195216,287087
Kandy,3,17,2008,2008-03,300.5,16.822,28.272001,0.46603224,"13,476","3,764","11,629","3,895",1347697,327546
Kegalle,3,12,2008,2008-03,412.7,18.9825,29.4825,0.46926478,"7,486","3,749","7,431","3,323",830934,211538
Kilinochchi,3,0,2008,2008-03,192.7,22.9655,30.4155,0.3575363,"14,650","2,803",,,106687,24831
Kurunegala,3,8,2008,2008-03,348.1,20.1275,30.7775,0.47210217,"75,351","3,838","68,912","3,148",1571439,416781
Mannar,3,0,2008,2008-03,199.8,23.313,29.963001,0.33991936,"4,894","3,640",,,92608,19391
Matale,3,29,2008,2008-03,414.80002,18.5755,29.9755,0.4279758,"19,119","3,559","11,960","3,784",471188,121367
Matara,3,46,2008,2008-03,289.8,23.1975,30.3475,0.4715887,"14,865","3,887","15,975","3,755",806253,195691
Monaragala,3,1,2008,2008-03,317.5,18.361,30.311,0.40215188,"25,827","3,993","13,716","4,272",428100,111097
Mullaitivu,3,0,2008,2008-03,205.2,23.652,30.852,0.37609676,"6,596","3,430",,,83887,22093
Nuwara Eliya,3,4,2008,2008-03,480.40002,11.6640005,21.514,0.46763173,"5,627","3,929","2,087","3,688",707156,170844
Polonnaruwa,3,2,2008,2008-03,253.39998,20.0935,31.793499,0.43750268,"55,529","4,900","54,481","4,971",393145,104787
Puttalam,3,0,2008,2008-03,313.7,22.619501,30.5195,0.37386557,"12,284","3,834","14,484","3,746",744467,192654
Ratnapura,3,11,2008,2008-03,317.9,19.5295,29.379501,0.4754395,"12,025","3,305","11,331","3,556",1069515,270830
Trincomalee,3,3,2008,2008-03,254.4,23.4195,30.719501,0.38839516,"18,987","4,381","15,296","4,504",360546,86607
Vavuniya,3,0,2008,2008-03,257.5,20.311,31.211,0.39133066,"6,422","3,587",,,172049,39695
Ampara,4,1,2008,2008-04,119.00001,23.0505,32.5505,0.3594764,"64,490","4,864","60,168","4,927",620469,152158
Anuradhapura,4,27,2008,2008-04,129.6,22.477999,33.427998,0.3706611,"72,717","4,311","49,133","4,396",829754,217008
Badulla,4,1,2008,2008-04,250.40001,18.311,29.611,0.44598335,"25,331","4,094","12,746","4,605",797275,196510
Batticaloa,4,1,2008,2008-04,93.3,23.7,33.5,0.28919306,"19,134","3,661","17,728","3,943",505292,124192
Colombo,4,75,2008,2008-04,448.30002,23.211,30.711,0.40139306,"3,767","3,502","3,832","3,172",2307572,540033
Galle,4,47,2008,2008-04,261.0,23.8825,29.7325,0.47817641,"14,679","3,190","14,130","3,027",1052224,258326
Gampaha,4,40,2008,2008-04,292.0,23.024,30.774,0.4761514,"9,360","3,495","7,501","3,243",2262655,572615
Hambantota,4,15,2008,2008-04,169.6,23.552,31.652,0.37835974,"24,234","4,762","24,500","4,725",577799,146693
Jaffna,4,0,2008,2008-04,54.3,24.924002,31.424002,0.29771945,"7,566","2,887",,,580303,129794
Kalutara,4,51,2008,2008-04,448.30002,23.187,30.237,0.4791111,"13,476","2,884","12,368","2,743",1195216,287087
Kandy,4,26,2008,2008-04,126.4,19.622002,29.272001,0.4535222,"13,476","3,764","11,629","3,895",1347697,327546
Kegalle,4,35,2008,2008-04,231.2,20.5325,29.8325,0.4751528,"7,486","3,749","7,431","3,323",830934,211538
Kilinochchi,4,0,2008,2008-04,49.600002,23.9655,33.1655,0.3036389,"14,650","2,803",,,106687,24831
Kurunegala,4,13,2008,2008-04,183.3,21.0275,31.2775,0.47074583,"75,351","3,838","68,912","3,148",1571439,416781
Mannar,4,0,2008,2008-04,91.299995,23.913,31.063,0.30964306,"4,894","3,640",,,92608,19391
Matale,4,30,2008,2008-04,178.1,20.875502,31.4755,0.41014025,"19,119","3,559","11,960","3,784",471188,121367
Matara,4,48,2008,2008-04,261.0,23.6975,29.9475,0.47309166,"14,865","3,887","15,975","3,755",806253,195691
Monaragala,4,22,2008,2008-04,174.3,20.211,32.060997,0.39276525,"25,827","3,993","13,716","4,272",428100,111097
Mullaitivu,4,0,2008,2008-04,78.1,24.452,33.702,0.30080834,"6,596","3,430",,,83887,22093
Nuwara Eliya,4,3,2008,2008-04,244.5,13.864,22.713999,0.45708194,"5,627","3,929","2,087","3,688",707156,170844
Polonnaruwa,4,16,2008,2008-04,132.1,22.1435,34.1935,0.41246668,"55,529","4,900","54,481","4,971",393145,104787
Puttalam,4,1,2008,2008-04,160.3,23.969501,31.0695,0.38555416,"12,284","3,834","14,484","3,746",744467,192654
Ratnapura,4,11,2008,2008-04,564.9,21.329498,29.829498,0.47933054,"12,025","3,305","11,331","3,556",1069515,270830
Trincomalee,4,1,2008,2008-04,81.99999,23.6695,33.669502,0.3151764,"18,987","4,381","15,296","4,504",360546,86607
Vavuniya,4,1,2008,2008-04,126.6,22.411001,34.060997,0.36036947,"6,422","3,587",,,172049,39695
Ampara,5,4,2008,2008-05,34.600002,24.3005,34.5505,0.2699086,"64,490","4,864","60,168","4,927",620469,152158
Anuradhapura,5,73,2008,2008-05,18.3,24.028,32.528,0.26887366,"72,717","4,311","49,133","4,396",829754,217008
Badulla,5,8,2008,2008-05,71.2,19.161001,31.161001,0.3523239,"25,331","4,094","12,746","4,605",797275,196510
Batticaloa,5,0,2008,2008-05,29.0,25.2,36.05,0.17041667,"19,134","3,661","17,728","3,943",505292,124192
Colombo,5,31,2008,2008-05,246.8,24.061,29.811,0.41054165,"3,767","3,502","3,832","3,172",2307572,540033
Galle,5,35,2008,2008-05,166.4,24.432499,29.1325,0.4863293,"14,679","3,190","14,130","3,027",1052224,258326
Gampaha,5,39,2008,2008-05,187.2,23.824001,29.924002,0.4827809,"9,360","3,495","7,501","3,243",2262655,572615
Hambantota,5,5,2008,2008-05,28.2,24.302,31.302,0.26338172,"24,234","4,762","24,500","4,725",577799,146693
Jaffna,5,0,2008,2008-05,4.2,27.274,31.074001,0.15813978,"7,566","2,887",,,580303,129794
Kalutara,5,30,2008,2008-05,246.8,23.737,29.387,0.4833992,"13,476","2,884","12,368","2,743",1195216,287087
Kandy,5,73,2008,2008-05,25.900002,20.072,29.022001,0.33827555,"13,476","3,764","11,629","3,895",1347697,327546
Kegalle,5,40,2008,2008-05,78.1,21.8325,28.7325,0.45233873,"7,486","3,749","7,431","3,323",830934,211538
Kilinochchi,5,1,2008,2008-05,1.0,26.0655,34.1155,0.1562285,"14,650","2,803",,,106687,24831
Kurunegala,5,56,2008,2008-05,76.3,23.0275,29.9775,0.3979207,"75,351","3,838","68,912","3,148",1571439,416781
Mannar,5,0,2008,2008-05,8.5,26.313,31.213001,0.16654302,"4,894","3,640",,,92608,19391
Matale,5,114,2008,2008-05,31.7,22.9255,30.625502,0.2926465,"19,119","3,559","11,960","3,784",471188,121367
Matara,5,35,2008,2008-05,166.4,24.2475,29.2475,0.4809301,"14,865","3,887","15,975","3,755",806253,195691
Monaragala,5,27,2008,2008-05,70.9,21.311,33.711,0.23819086,"25,827","3,993","13,716","4,272",428100,111097
Mullaitivu,5,0,2008,2008-05,4.7,26.252,35.052,0.1578992,"6,596","3,430",,,83887,22093
Nuwara Eliya,5,3,2008,2008-05,120.100006,14.614,22.113998,0.46320832,"5,627","3,929","2,087","3,688",707156,170844
Polonnaruwa,5,7,2008,2008-05,10.5,24.793499,35.0435,0.24253225,"55,529","4,900","54,481","4,971",393145,104787
Puttalam,5,3,2008,2008-05,64.8,25.0195,29.969501,0.32656586,"12,284","3,834","14,484","3,746",744467,192654
Ratnapura,5,17,2008,2008-05,227.7,22.2295,29.0295,0.48417875,"12,025","3,305","11,331","3,556",1069515,270830
Trincomalee,5,4,2008,2008-05,5.8,25.869501,35.2195,0.16402285,"18,987","4,381","15,296","4,504",360546,86607
Vavuniya,5,2,2008,2008-05,19.1,24.711,34.461,0.22999598,"6,422","3,587",,,172049,39695
Ampara,6,0,2008,2008-06,87.2,24.5005,34.0505,0.30991805,"64,490","4,864","60,168","4,927",620469,152158
Anuradhapura,6,68,2008,2008-06,38.100002,24.178,32.628,0.25335974,"72,717","4,311","49,133","4,396",829754,217008
Badulla,6,9,2008,2008-06,97.1,18.211,31.061,0.3722125,"25,331","4,094","12,746","4,605",797275,196510
Batticaloa,6,2,2008,2008-06,70.9,24.25,35.7,0.21609166,"19,134","3,661","17,728","3,943",505292,124192
Colombo,6,26,2008,2008-06,318.9,24.111,29.811,0.41200694,"3,767","3,502","3,832","3,172",2307572,540033
Galle,6,17,2008,2008-06,215.3,24.182499,29.1325,0.47815415,"14,679","3,190","14,130","3,027",1052224,258326
Gampaha,6,38,2008,2008-06,315.90002,24.024,30.124,0.47694165,"9,360","3,495","7,501","3,243",2262655,572615
Hambantota,6,12,2008,2008-06,34.5,24.552,31.952,0.22240554,"24,234","4,762","24,500","4,725",577799,146693
Jaffna,6,0,2008,2008-06,43.899998,26.424002,31.574001,0.19443472,"7,566","2,887",,,580303,129794
Kalutara,6,87,2008,2008-06,318.9,23.487,29.387,0.47440693,"13,476","2,884","12,368","2,743",1195216,287087
Kandy,6,83,2008,2008-06,35.5,20.522001,28.322,0.37235418,"13,476","3,764","11,629","3,895",1347697,327546
Kegalle,6,62,2008,2008-06,218.1,21.5325,28.7825,0.47908196,"7,486","3,749","7,431","3,323",830934,211538
Kilinochchi,6,0,2008,2008-06,13.1,25.9155,34.7155,0.16803612,"14,650","2,803",,,106687,24831
Kurunegala,6,47,2008,2008-06,175.8,22.2275,30.0275,0.44503888,"75,351","3,838","68,912","3,148",1571439,416781
Mannar,6,0,2008,2008-06,45.0,25.763,31.363,0.1864764,"4,894","3,640",,,92608,19391
Matale,6,151,2008,2008-06,77.3,22.0755,30.375502,0.29955557,"19,119","3,559","11,960","3,784",471188,121367
Matara,6,18,2008,2008-06,215.3,24.0975,29.1975,0.48193473,"14,865","3,887","15,975","3,755",806253,195691
Monaragala,6,12,2008,2008-06,141.3,21.811,34.111,0.32463887,"25,827","3,993","13,716","4,272",428100,111097
Mullaitivu,6,0,2008,2008-06,29.3,26.352,35.052,0.17204584,"6,596","3,430",,,83887,22093
Nuwara Eliya,6,12,2008,2008-06,156.70001,14.314,22.164,0.4734986,"5,627","3,929","2,087","3,688",707156,170844
Polonnaruwa,6,22,2008,2008-06,10.6,25.0935,35.1435,0.20293888,"55,529","4,900","54,481","4,971",393145,104787
Puttalam,6,14,2008,2008-06,127.700005,24.869501,29.8195,0.3376333,"12,284","3,834","14,484","3,746",744467,192654
