District,Month,Cases,Year,YearMonth,Precipitation_mm,Temp_Min_C,Temp_Max_C,Soil_Moisture_0_7cm,MRiceArea,MRiceYield,SRiceArea,SRiceYield,Population,Households
Kegalle,10,31,2009,2009-10,216.3,19.8825,30.0825,0.4614973,"8,179","3,721","7,617","3,374",833352,213326
Kilinochchi,10,0,2009,2009-10,57.9,23.615501,34.4155,0.1767594,-,-,,,108353,25435
Kurunegala,10,20,2009,2009-10,198.0,20.9775,31.6275,0.44721237,"77,291","3,940","48,916","3,534",1583066,421912
Mannar,10,0,2009,2009-10,51.100002,24.363,32.863,0.1715551,"5,352","3,670",,,94302,20008
Matale,10,11,2009,2009-10,244.6,20.1755,32.3755,0.35569492,"19,374","3,759","6,406","3,642",474489,122891
Matara,10,33,2009,2009-10,141.0,23.9975,30.3975,0.44052285,"16,171","3,631","15,722","3,628",808195,197678
Monaragala,10,2,2009,2009-10,93.9,20.911001,35.661,0.26459274,"26,529","4,413","8,341","3,645",433728,113236
Mullaitivu,10,0,2009,2009-10,64.2,25.002,34.101997,0.18949732,-,-,,,85901,22711
Nuwara Eliya,10,7,2009,2009-10,265.1,13.114,23.014,0.45286158,"5,576","4,145","2,884","2,913",708275,172146
Polonnaruwa,10,3,2009,2009-10,53.7,22.8935,37.2935,0.24935484,"57,298","5,223","36,862","4,737",396342,106026
Puttalam,10,11,2009,2009-10,92.8,23.869501,31.869501,0.27193278,"19,680","3,976","15,258","3,653",748909,194878
Ratnapura,10,39,2009,2009-10,445.40002,20.6795,29.9795,0.4696976,"12,995","3,462","11,978","3,277",1074108,273926
Trincomalee,10,0,2009,2009-10,62.4,24.5695,34.669502,0.17828092,"23,014","4,463","13,950","4,851",365204,88360
Vavuniya,10,0,2009,2009-10,65.700005,22.861,35.161,0.21518952,"6,709","4,689",,,172066,40160
Ampara,11,0,2009,2009-11,276.1,23.2505,29.8005,0.39586803,"69,979","5,158","46,227","4,964",627579,154918
Anuradhapura,11,8,2009,2009-11,200.70001,21.977999,31.428,0.39326388,"80,724","4,633","18,226","4,426",837354,220063
Badulla,11,2,2009,2009-11,262.2,18.161001,27.411001,0.47239724,"27,225","4,484","8,168","4,673",801769,198951
Batticaloa,11,0,2009,2009-11,324.0,23.45,30.3,0.362,"45,905","3,639","17,073","4,189",510529,126519
Colombo,11,127,2009,2009-11,423.2,22.361,30.661001,0.4064125,"4,506","3,554","3,615","3,004",2311755,546538
Galle,11,16,2009,2009-11,471.5,23.682499,29.3825,0.4791278,"15,930","3,032","13,120","2,997",1054991,261042
Gampaha,11,64,2009,2009-11,342.6,22.174002,30.674002,0.47673333,"10,826","3,353","8,106","3,390",2273127,578960
Hambantota,11,12,2009,2009-11,374.09998,23.302,29.602,0.40774447,"25,575","5,295","21,905","5,017",583248,148964
Jaffna,11,0,2009,2009-11,355.40002,24.374,29.424002,0.39427084,"8,171","2,506",-,-,581196,131336
Kalutara,11,91,2009,2009-11,423.2,22.987,29.786999,0.47790557,"14,684","3,115","12,872","2,898",1201844,290635
Kandy,11,27,2009,2009-11,218.4,17.572,27.672,0.47674862,"14,071","3,768","9,262","3,545",1354566,331129
Kegalle,11,39,2009,2009-11,301.2,19.4825,29.182499,0.47366807,"8,179","3,721","7,617","3,374",833352,213326
Kilinochchi,11,0,2009,2009-11,316.1,23.5655,30.365501,0.3861014,-,-,,,108353,25435
Kurunegala,11,25,2009,2009-11,245.1,20.7275,30.5275,0.47349864,"77,291","3,940","48,916","3,534",1583066,421912
Mannar,11,0,2009,2009-11,257.6,23.963001,29.963001,0.36459026,"5,352","3,670",,,94302,20008
Matale,11,8,2009,2009-11,290.30002,19.5755,29.525501,0.43489167,"19,374","3,759","6,406","3,642",474489,122891
Matara,11,38,2009,2009-11,471.5,23.5975,29.7975,0.48074722,"16,171","3,631","15,722","3,628",808195,197678
Monaragala,11,0,2009,2009-11,316.1,20.111,29.211,0.4104597,"26,529","4,413","8,341","3,645",433728,113236
Mullaitivu,11,0,2009,2009-11,334.9,24.352,29.802,0.39658055,-,-,,,85901,22711
Nuwara Eliya,11,2,2009,2009-11,336.2,13.064,22.064,0.4748139,"5,576","4,145","2,884","2,913",708275,172146
Polonnaruwa,11,3,2009,2009-11,228.99998,22.293499,30.8935,0.4492347,"57,298","5,223","36,862","4,737",396342,106026
Puttalam,11,4,2009,2009-11,208.7,23.3195,30.5195,0.3850333,"19,680","3,976","15,258","3,653",748909,194878
Ratnapura,11,29,2009,2009-11,532.7,20.6795,29.7295,0.47871667,"12,995","3,462","11,978","3,277",1074108,273926
Trincomalee,11,2,2009,2009-11,361.6,23.7695,29.9195,0.3976278,"23,014","4,463","13,950","4,851",365204,88360
Vavuniya,11,1,2009,2009-11,216.90001,22.161001,30.911001,0.38208613,"6,709","4,689",,,172066,40160
Ampara,12,2,2009,2009-12,313.6,22.9505,29.3505,0.40567473,"69,979","5,158","46,227","4,964",627579,154918
Anuradhapura,12,4,2009,2009-12,236.9,20.877998,30.127998,0.39898118,"80,724","4,633","18,226","4,426",837354,220063
Badulla,12,1,2009,2009-12,275.7,18.511,26.961,0.48398927,"27,225","4,484","8,168","4,673",801769,198951
Batticaloa,12,2,2009,2009-12,395.69998,23.2,29.35,0.37804165,"45,905","3,639","17,073","4,189",510529,126519
Colombo,12,71,2009,2009-12,290.80002,22.011,30.311,0.39771238,"4,506","3,554","3,615","3,004",2311755,546538
Galle,12,43,2009,2009-12,264.8,23.2825,29.7825,0.47861964,"15,930","3,032","13,120","2,997",1054991,261042
Gampaha,12,22,2009,2009-12,325.30002,21.324001,30.774,0.46949327,"10,826","3,353","8,106","3,390",2273127,578960
Hambantota,12,14,2009,2009-12,146.8,23.002,29.402,0.3988575,"25,575","5,295","21,905","5,017",583248,148964
Jaffna,12,0,2009,2009-12,322.59998,23.924002,28.224,0.38630646,"8,171","2,506",-,-,581196,131336
Kalutara,12,40,2009,2009-12,290.80002,22.587,29.637,0.481875,"14,684","3,115","12,872","2,898",1201844,290635
Kandy,12,16,2009,2009-12,316.30002,18.072,27.122002,0.4737191,"14,071","3,768","9,262","3,545",1354566,331129
Kegalle,12,28,2009,2009-12,295.1,18.7825,29.182499,0.47315723,"8,179","3,721","7,617","3,374",833352,213326
Kilinochchi,12,0,2009,2009-12,344.1,22.8155,29.0655,0.39527288,-,-,,,108353,25435
Kurunegala,12,33,2009,2009-12,254.0,20.7775,30.1275,0.47360885,"77,291","3,940","48,916","3,534",1583066,421912
Mannar,12,0,2009,2009-12,204.90001,23.513,28.713001,0.37719756,"5,352","3,670",,,94302,20008
Matale,12,12,2009,2009-12,294.7,19.0755,28.5755,0.43520027,"19,374","3,759","6,406","3,642",474489,122891
Matara,12,19,2009,2009-12,264.8,22.9975,29.9975,0.47314247,"16,171","3,631","15,722","3,628",808195,197678
Monaragala,12,1,2009,2009-12,340.8,19.961,29.561,0.41525808,"26,529","4,413","8,341","3,645",433728,113236
Mullaitivu,12,0,2009,2009-12,398.40002,24.102,28.102,0.40417475,-,-,,,85901,22711
Nuwara Eliya,12,2,2009,2009-12,319.0,13.364,21.613998,0.47645697,"5,576","4,145","2,884","2,913",708275,172146
Polonnaruwa,12,4,2009,2009-12,267.40002,21.2435,30.043499,0.46028763,"57,298","5,223","36,862","4,737",396342,106026
Puttalam,12,6,2009,2009-12,220.70001,22.969501,29.719501,0.398125,"19,680","3,976","15,258","3,653",748909,194878
Ratnapura,12,18,2009,2009-12,298.0,20.1795,29.9295,0.4765309,"12,995","3,462","11,978","3,277",1074108,273926
Trincomalee,12,2,2009,2009-12,456.5,23.6695,28.369501,0.40777957,"23,014","4,463","13,950","4,851",365204,88360
Vavuniya,12,1,2009,2009-12,329.1,21.561,29.361,0.39769486,"6,709","4,689",,,172066,40160
Ampara,1,11,2010,2010-01,122.4,21.6005,29.0005,0.3563387,"69,861","5,368","59,255","4,877",634771,157727
Anuradhapura,1,4,2010,2010-01,58.5,18.778,30.528,0.34112504,"81,463","4,924","22,887","4,887",845024,223161
Badulla,1,9,2010,2010-01,101.3,16.661001,26.561,0.43218547,"27,023","4,324","12,665","4,480",806289,201422
Batticaloa,1,0,2010,2010-01,128.4,21.9,29.25,0.31301478,"54,855","4,031","20,901","4,008",515820,128890
Colombo,1,36,2010,2010-01,91.2,21.261,33.161,0.2450699,"4,764","3,505","2,656","3,209",2315945,553120
Galle,1,1,2010,2010-01,74.1,22.7825,29.7825,0.4331653,"17,156","3,286","11,732","2,943",1057765,263786
Gampaha,1,13,2010,2010-01,37.1,20.824001,32.874,0.3452715,"12,534","3,451","7,828","3,687",2283647,585375
Hambantota,1,9,2010,2010-01,47.600002,22.352,30.702,0.28179166,"26,098","5,183","24,255","5,114",588747,151269
Jaffna,1,0,2010,2010-01,44.700005,23.674002,28.174002,0.29209274,"8,948","2,605",,,582090,132897
Kalutara,1,20,2010,2010-01,91.2,21.737,31.637,0.39775,"15,369","3,208","12,025","2,682",1208508,294227
Kandy,1,9,2010,2010-01,70.100006,15.672,27.372002,0.39213172,754,934,"10,121","3,567",1361469,334751
Kegalle,1,19,2010,2010-01,26.699999,17.682499,30.3825,0.38161692,"8,337","3,791","7,216","2,846",835777,215129
Kilinochchi,1,0,2010,2010-01,38.699997,21.515501,28.7155,0.2951317,-,-,,,110046,26054
Kurunegala,1,11,2010,2010-01,35.3,18.4775,30.7275,0.39795026,"68,758","4,033","56,682","3,993",1594779,427106
Mannar,1,0,2010,2010-01,111.39998,22.313,29.013,0.29642743,"8,093","5,403",600,"3,909",96026,20645
Matale,1,16,2010,2010-01,44.9,17.375502,28.9755,0.36566263,"20,248","4,494","10,719","4,292",477813,124434
Matara,1,11,2010,2010-01,74.1,22.1975,30.4475,0.4317366,"15,908","3,641","15,574","3,415",810141,199686
Monaragala,1,6,2010,2010-01,100.100006,19.161001,29.261,0.34345162,"27,360","4,413","14,016","4,210",439429,115416
Mullaitivu,1,0,2010,2010-01,61.1,23.752,28.152,0.32229975,"2,180","5,316","1,183","3,877",87963,23346
Nuwara Eliya,1,3,2010,2010-01,86.799995,12.9140005,21.463999,0.4243817,"5,586","4,134","3,030","4,420",709396,173459
Polonnaruwa,1,16,2010,2010-01,47.9,19.1935,30.293499,0.40918818,"60,312","5,336","58,301","5,095",399564,107281
Puttalam,1,6,2010,2010-01,23.800001,21.5195,30.369501,0.30611694,"14,415","3,973","10,576","3,567",753378,197128
Ratnapura,1,39,2010,2010-01,152.59999,19.4295,30.7295,0.4343347,"13,485","3,318","11,463","3,280",1078721,277058
Trincomalee,1,6,2010,2010-01,55.0,23.2695,28.2695,0.3295605,"26,535","4,332","13,116","4,853",369921,90149
Vavuniya,1,0,2010,2010-01,145.2,18.711,29.661001,0.32990056,"4,830","5,367",834,"4,724",172082,40631
Ampara,2,4,2010,2010-02,29.4,21.7005,30.4005,0.3327098,"69,861","5,368","59,255","4,877",634771,157727
Anuradhapura,2,7,2010,2010-02,6.0000005,20.278,34.528,0.21940327,"81,463","4,924","22,887","4,887",845024,223161
Badulla,2,5,2010,2010-02,16.9,15.861,28.411001,0.41267112,"27,023","4,324","12,665","4,480",806289,201422
Batticaloa,2,1,2010,2010-02,40.600002,21.95,30.75,0.2620625,"54,855","4,031","20,901","4,008",515820,128890
Colombo,2,42,2010,2010-02,69.8,22.761,33.661,0.21965326,"4,764","3,505","2,656","3,209",2315945,553120
Galle,2,2,2010,2010-02,49.8,23.582499,31.2325,0.43973365,"17,156","3,286","11,732","2,943",1057765,263786
Gampaha,2,75,2010,2010-02,42.2,22.474,36.524,0.29726785,"12,534","3,451","7,828","3,687",2283647,585375
Hambantota,2,9,2010,2010-02,8.5,22.452,31.702,0.21535267,"26,098","5,183","24,255","5,114",588747,151269
Jaffna,2,0,2010,2010-02,0.0,23.874,30.124,0.1595104,"8,948","2,605",,,582090,132897
Kalutara,2,15,2010,2010-02,69.8,23.087,31.286999,0.39040476,"15,369","3,208","12,025","2,682",1208508,294227
Kandy,2,0,2010,2010-02,33.6,17.122002,31.322,0.32441965,754,934,"10,121","3,567",1361469,334751
Kegalle,2,26,2010,2010-02,7.8,20.0825,35.3325,0.30820984,"8,337","3,791","7,216","2,846",835777,215129
Kilinochchi,2,0,2010,2010-02,0.6,21.865501,32.5155,0.16088988,-,-,,,110046,26054
Kurunegala,2,80,2010,2010-02,9.799999,20.827501,36.0275,0.29859376,"68,758","4,033","56,682","3,993",1594779,427106
Mannar,2,0,2010,2010-02,0.8,22.963001,31.963001,0.145314,"8,093","5,403",600,"3,909",96026,20645
Matale,2,8,2010,2010-02,13.8,19.2255,32.4255,0.30161312,"20,248","4,494","10,719","4,292",477813,124434
Matara,2,29,2010,2010-02,49.8,23.0475,31.9975,0.42844197,"15,908","3,641","15,574","3,415",810141,199686
Monaragala,2,4,2010,2010-02,34.6,18.061,31.661001,0.29921576,"27,360","4,413","14,016","4,210",439429,115416
Mullaitivu,2,0,2010,2010-02,1.4,24.302,30.502,0.18241072,"2,180","5,316","1,183","3,877",87963,23346
Nuwara Eliya,2,1,2010,2010-02,48.6,12.4140005,23.613998,0.39749104,"5,586","4,134","3,030","4,420",709396,173459
Polonnaruwa,2,8,2010,2010-02,11.8,20.2435,32.6435,0.32063988,"60,312","5,336","58,301","5,095",399564,107281
Puttalam,2,18,2010,2010-02,5.8000007,22.6695,34.0195,0.13327977,"14,415","3,973","10,576","3,567",753378,197128
Ratnapura,2,28,2010,2010-02,85.200005,19.9795,32.3295,0.4541741,"13,485","3,318","11,463","3,280",1078721,277058
Trincomalee,2,1,2010,2010-02,7.6000004,23.9195,30.5195,0.19531994,"26,535","4,332","13,116","4,853",369921,90149
Vavuniya,2,0,2010,2010-02,2.3000002,20.311,34.661,0.19216669,"4,830","5,367",834,"4,724",172082,40631
Ampara,3,2,2010,2010-03,36.2,22.2505,32.5505,0.22170968,"69,861","5,368","59,255","4,877",634771,157727
Anuradhapura,3,8,2010,2010-03,61.299995,20.127998,36.278,0.19375671,"81,463","4,924","22,887","4,887",845024,223161
Badulla,3,4,2010,2010-03,104.299995,17.811,30.461,0.31225803,"27,023","4,324","12,665","4,480",806289,201422
Batticaloa,3,0,2010,2010-03,28.2,22.6,33.25,0.14459677,"54,855","4,031","20,901","4,008",515820,128890
Colombo,3,103,2010,2010-03,64.1,22.511,34.861,0.19515054,"4,764","3,505","2,656","3,209",2315945,553120
Galle,3,15,2010,2010-03,49.7,23.932499,32.682503,0.35437366,"17,156","3,286","11,732","2,943",1057765,263786
Gampaha,3,59,2010,2010-03,59.5,23.074001,36.524,0.3214691,"12,534","3,451","7,828","3,687",2283647,585375
Hambantota,3,2,2010,2010-03,41.399998,23.252,33.202,0.15946372,"26,098","5,183","24,255","5,114",588747,151269
Jaffna,3,0,2010,2010-03,4.9,23.624,32.174,0.14137366,"8,948","2,605",,,582090,132897
Kalutara,3,71,2010,2010-03,64.1,23.536999,32.836998,0.31730512,"15,369","3,208","12,025","2,682",1208508,294227
Kandy,3,12,2010,2010-03,91.1,17.922,33.072002,0.28098926,754,934,"10,121","3,567",1361469,334751
Kegalle,3,29,2010,2010-03,69.1,20.682499,35.7825,0.30938843,"8,337","3,791","7,216","2,846",835777,215129
Kilinochchi,3,0,2010,2010-03,6.4,21.1655,34.0155,0.14758064,-,-,,,110046,26054
Kurunegala,3,35,2010,2010-03,56.8,21.2275,37.2275,0.3071922,"68,758","4,033","56,682","3,993",1594779,427106
Mannar,3,0,2010,2010-03,10.6,22.613,33.513,0.13308871,"8,093","5,403",600,"3,909",96026,20645
Matale,3,2,2010,2010-03,97.299995,18.4255,34.3755,0.2435941,"20,248","4,494","10,719","4,292",477813,124434
Matara,3,59,2010,2010-03,49.7,23.6975,33.0975,0.34263843,"15,908","3,641","15,574","3,415",810141,199686
Monaragala,3,3,2010,2010-03,54.800003,18.261,33.510998,0.20109946,"27,360","4,413","14,016","4,210",439429,115416
Mullaitivu,3,0,2010,2010-03,16.5,23.802,33.651997,0.15079437,"2,180","5,316","1,183","3,877",87963,23346
Nuwara Eliya,3,4,2010,2010-03,147.2,12.714,25.113998,0.31843412,"5,586","4,134","3,030","4,420",709396,173459
Polonnaruwa,3,7,2010,2010-03,87.0,19.6935,35.9435,0.23284274,"60,312","5,336","58,301","5,095",399564,107281
Puttalam,3,26,2010,2010-03,39.0,22.8195,34.8695,0.131875,"14,415","3,973","10,576","3,567",753378,197128
Ratnapura,3,55,2010,2010-03,76.3,20.629501,33.0795,0.42455375,"13,485","3,318","11,463","3,280",1078721,277058
Trincomalee,3,1,2010,2010-03,26.9,23.4195,33.169502,0.16437367,"26,535","4,332","13,116","4,853",369921,90149
Vavuniya,3,0,2010,2010-03,34.5,19.611,36.611,0.17356856,"4,830","5,367",834,"4,724",172082,40631
Ampara,4,1,2010,2010-04,76.3,24.6005,33.0505,0.29514027,"69,861","5,368","59,255","4,877",634771,157727
Anuradhapura,4,11,2010,2010-04,147.5,24.227999,35.578,0.32286945,"81,463","4,924","22,887","4,887",845024,223161
Badulla,4,11,2010,2010-04,194.3,19.761,30.361,0.41493472,"27,023","4,324","12,665","4,480",806289,201422
Batticaloa,4,4,2010,2010-04,60.1,25.45,34.2,0.1621,"54,855","4,031","20,901","4,008",515820,128890
Colombo,4,39,2010,2010-04,260.5,24.461,31.711,0.38504168,"4,764","3,505","2,656","3,209",2315945,553120
Galle,4,10,2010,2010-04,219.0,25.082499,30.5325,0.4706028,"17,156","3,286","11,732","2,943",1057765,263786
Gampaha,4,21,2010,2010-04,267.1,24.324001,32.323997,0.46683332,"12,534","3,451","7,828","3,687",2283647,585375
Hambantota,4,1,2010,2010-04,134.3,25.052,33.151997,0.31538194,"26,098","5,183","24,255","5,114",588747,151269
Jaffna,4,0,2010,2010-04,65.3,25.874,33.724,0.19399445,"8,948","2,605",,,582090,132897
Kalutara,4,23,2010,2010-04,260.5,24.437,31.187,0.4723375,"15,369","3,208","12,025","2,682",1208508,294227
Kandy,4,3,2010,2010-04,150.7,20.872002,30.572,0.45596525,754,934,"10,121","3,567",1361469,334751
Kegalle,4,9,2010,2010-04,278.4,22.0825,32.1825,0.4656542,"8,337","3,791","7,216","2,846",835777,215129
Kilinochchi,4,0,2010,2010-04,61.7,25.2155,36.1655,0.22332083,-,-,,,110046,26054
Kurunegala,4,19,2010,2010-04,235.0,22.7775,33.9275,0.4563889,"68,758","4,033","56,682","3,993",1594779,427106
Mannar,4,0,2010,2010-04,102.5,24.963001,33.663002,0.21910416,"8,093","5,403",600,"3,909",96026,20645
Matale,4,17,2010,2010-04,290.4,22.3255,32.8255,0.39865002,"20,248","4,494","10,719","4,292",477813,124434
Matara,4,26,2010,2010-04,219.0,24.9475,30.8975,0.4636208,"15,908","3,641","15,574","3,415",810141,199686
Monaragala,4,4,2010,2010-04,136.8,21.861,33.310997,0.3633903,"27,360","4,413","14,016","4,210",439429,115416
Mullaitivu,4,0,2010,2010-04,47.9,25.602,34.702,0.18095972,"2,180","5,316","1,183","3,877",87963,23346
Nuwara Eliya,4,1,2010,2010-04,315.3,14.814,23.564,0.46355,"5,586","4,134","3,030","4,420",709396,173459
Polonnaruwa,4,3,2010,2010-04,102.200005,24.043499,34.5935,0.36710554,"60,312","5,336","58,301","5,095",399564,107281
Puttalam,4,3,2010,2010-04,254.5,25.369501,32.669502,0.3230264,"14,415","3,973","10,576","3,567",753378,197128
Ratnapura,4,42,2010,2010-04,283.2,22.4795,30.9795,0.47784308,"13,485","3,318","11,463","3,280",1078721,277058
Trincomalee,4,0,2010,2010-04,53.800003,25.469501,34.6195,0.22005972,"26,535","4,332","13,116","4,853",369921,90149
Vavuniya,4,0,2010,2010-04,112.2,24.111,36.310997,0.28519723,"4,830","5,367",834,"4,724",172082,40631
Ampara,5,6,2010,2010-05,92.0,25.0005,34.3505,0.33624595,"69,861","5,368","59,255","4,877",634771,157727
Anuradhapura,5,10,2010,2010-05,98.5,24.278,32.578,0.35218012,"81,463","4,924","22,887","4,887",845024,223161
Badulla,5,4,2010,2010-05,209.1,20.511,30.761,0.4542379,"27,023","4,324","12,665","4,480",806289,201422
Batticaloa,5,2,2010,2010-05,65.799995,25.65,35.2,0.25166667,"54,855","4,031","20,901","4,008",515820,128890
Colombo,5,52,2010,2010-05,320.1,25.111,31.561,0.40798658,"4,764","3,505","2,656","3,209",2315945,553120
Galle,5,8,2010,2010-05,295.8,25.332499,30.582499,0.48579302,"17,156","3,286","11,732","2,943",1057765,263786
Gampaha,5,24,2010,2010-05,285.69998,25.024,31.924002,0.48345697,"12,534","3,451","7,828","3,687",2283647,585375
Hambantota,5,18,2010,2010-05,117.700005,25.502,32.002,0.3452043,"26,098","5,183","24,255","5,114",588747,151269
Jaffna,5,1,2010,2010-05,54.9,26.074001,33.474,0.24172448,"8,948","2,605",,,582090,132897
Kalutara,5,26,2010,2010-05,320.1,24.887,31.036999,0.4863011,"15,369","3,208","12,025","2,682",1208508,294227
Kandy,5,15,2010,2010-05,86.0,21.372002,29.222,0.46788305,754,934,"10,121","3,567",1361469,334751
Kegalle,5,17,2010,2010-05,204.2,22.8325,30.7825,0.48192206,"8,337","3,791","7,216","2,846",835777,215129
Kilinochchi,5,0,2010,2010-05,25.699999,25.3155,34.9155,0.23059945,-,-,,,110046,26054
Kurunegala,5,34,2010,2010-05,166.40001,23.2775,32.0275,0.47344756,"68,758","4,033","56,682","3,993",1594779,427106
Mannar,5,0,2010,2010-05,58.6,25.113,32.513,0.24515995,"8,093","5,403",600,"3,909",96026,20645
Matale,5,8,2010,2010-05,112.700005,22.625502,31.2255,0.3993844,"20,248","4,494","10,719","4,292",477813,124434
Matara,5,40,2010,2010-05,295.8,25.1975,30.9475,0.47935754,"15,908","3,641","15,574","3,415",810141,199686
Monaragala,5,9,2010,2010-05,166.7,22.861,33.310997,0.37020162,"27,360","4,413","14,016","4,210",439429,115416
Mullaitivu,5,0,2010,2010-05,30.5,25.702,35.452,0.2072258,"2,180","5,316","1,183","3,877",87963,23346
Nuwara Eliya,5,5,2010,2010-05,241.6,15.714,23.514,0.47460753,"5,586","4,134","3,030","4,420",709396,173459
Polonnaruwa,5,6,2010,2010-05,54.100002,24.3435,35.1935,0.3412688,"60,312","5,336","58,301","5,095",399564,107281
Puttalam,5,1,2010,2010-05,159.2,25.4195,31.5195,0.38052422,"14,415","3,973","10,576","3,567",753378,197128
Ratnapura,5,29,2010,2010-05,335.0,23.329498,30.879501,0.47944486,"13,485","3,318","11,463","3,280",1078721,277058
Trincomalee,5,0,2010,2010-05,48.8,25.719501,35.4695,0.2414395,"26,535","4,332","13,116","4,853",369921,90149
Vavuniya,5,1,2010,2010-05,69.9,24.061,34.310997,0.30834946,"4,830","5,367",834,"4,724",172082,40631
Ampara,6,7,2010,2010-06,97.0,25.5505,34.400497,0.31327775,"69,861","5,368","59,255","4,877",634771,157727
Anuradhapura,6,15,2010,2010-06,40.5,24.578,33.728,0.27868888,"81,463","4,924","22,887","4,887",845024,223161
Badulla,6,9,2010,2010-06,112.9,20.461,31.861,0.4053361,"27,023","4,324","12,665","4,480",806289,201422
Batticaloa,6,3,2010,2010-06,55.7,25.8,36.3,0.20452084,"54,855","4,031","20,901","4,008",515820,128890
Colombo,6,76,2010,2010-06,387.6,24.411001,30.161001,0.40961805,"4,764","3,505","2,656","3,209",2315945,553120
Galle,6,7,2010,2010-06,267.0,24.4825,29.432499,0.48280555,"17,156","3,286","11,732","2,943",1057765,263786
Gampaha,6,42,2010,2010-06,359.4,24.524,30.374,0.4796472,"12,534","3,451","7,828","3,687",2283647,585375
Hambantota,6,22,2010,2010-06,48.3,25.052,32.252,0.2428111,"26,098","5,183","24,255","5,114",588747,151269
Jaffna,6,0,2010,2010-06,53.8,26.774,32.724,0.22430278,"8,948","2,605",,,582090,132897
Kalutara,6,33,2010,2010-06,387.6,24.387,29.587,0.48197502,"15,369","3,208","12,025","2,682",1208508,294227
Kandy,6,12,2010,2010-06,55.2,21.022001,29.022001,0.45882362,754,934,"10,121","3,567",1361469,334751
Kegalle,6,30,2010,2010-06,276.3,22.1325,29.0825,0.48058334,"8,337","3,791","7,216","2,846",835777,215129
Kilinochchi,6,0,2010,2010-06,17.2,26.5655,36.8655,0.16843611,-,-,,,110046,26054
Kurunegala,6,25,2010,2010-06,213.5,23.327501,30.577501,0.47033468,"68,758","4,033","56,682","3,993",1594779,427106
Mannar,6,0,2010,2010-06,33.8,26.763,32.713,0.18304166,"8,093","5,403",600,"3,909",96026,20645
Matale,6,13,2010,2010-06,132.3,22.9755,31.125502,0.36437914,"20,248","4,494","10,719","4,292",477813,124434
Matara,6,25,2010,2010-06,267.0,24.2475,29.5475,0.4814764,"15,908","3,641","15,574","3,415",810141,199686
Monaragala,6,1,2010,2010-06,165.1,22.911001,33.661,0.3233403,"27,360","4,413","14,016","4,210",439429,115416
Mullaitivu,6,0,2010,2010-06,21.3,26.802,36.452,0.16285557,"2,180","5,316","1,183","3,877",87963,23346
Nuwara Eliya,6,2,2010,2010-06,247.2,15.814,22.914,0.4775042,"5,586","4,134","3,030","4,420",709396,173459
Polonnaruwa,6,7,2010,2010-06,20.900002,24.9435,37.0435,0.23159723,"60,312","5,336","58,301","5,095",399564,107281
Puttalam,6,3,2010,2010-06,144.0,25.4195,30.7695,0.35983053,"14,415","3,973","10,576","3,567",753378,197128
Ratnapura,6,47,2010,2010-06,381.1,22.6795,29.9795,0.48595557,"13,485","3,318","11,463","3,280",1078721,277058
Trincomalee,6,5,2010,2010-06,17.7,26.369501,36.419502,0.16369168,"26,535","4,332","13,116","4,853",369921,90149
Vavuniya,6,1,2010,2010-06,27.5,25.261,36.510998,0.19364305,"4,830","5,367",834,"4,724",172082,40631
Ampara,7,0,2010,2010-07,43.1,24.6005,35.0505,0.27567473,"69,861","5,368","59,255","4,877",634771,157727
Anuradhapura,7,8,2010,2010-07,49.0,23.578,35.177998,0.27067474,"81,463","4,924","22,887","4,887",845024,223161
Badulla,7,8,2010,2010-07,80.3,20.211,31.111,0.37277552,"27,023","4,324","12,665","4,480",806289,201422
Batticaloa,7,0,2010,2010-07,32.8,25.1,36.05,0.17463037,"54,855","4,031","20,901","4,008",515820,128890
Colombo,7,36,2010,2010-07,246.7,23.711,30.161001,0.40667608,"4,764","3,505","2,656","3,209",2315945,553120
Galle,7,15,2010,2010-07,150.90001,24.3825,29.2325,0.48826882,"17,156","3,286","11,732","2,943",1057765,263786
Gampaha,7,29,2010,2010-07,278.4,23.474,30.924002,0.483543,"12,534","3,451","7,828","3,687",2283647,585375
Hambantota,7,9,2010,2010-07,22.2,24.652,33.502,0.18173388,"26,098","5,183","24,255","5,114",588747,151269
Jaffna,7,0,2010,2010-07,27.6,26.474,31.374,0.1807863,"8,948","2,605",,,582090,132897
Kalutara,7,36,2010,2010-07,246.7,23.536999,29.737,0.4825941,"15,369","3,208","12,025","2,682",1208508,294227
Kandy,7,15,2010,2010-07,55.0,20.572,29.122002,0.4634812,754,934,"10,121","3,567",1361469,334751
Kegalle,7,41,2010,2010-07,269.1,21.3825,29.5325,0.47695565,"8,337","3,791","7,216","2,846",835777,215129
Kilinochchi,7,0,2010,2010-07,9.5,25.6655,34.9655,0.16188306,-,-,,,110046,26054
Kurunegala,7,23,2010,2010-07,210.8,22.1275,31.177502,0.4683696,"68,758","4,033","56,682","3,993",1594779,427106
Mannar,7,0,2010,2010-07,27.699999,25.663,31.763,0.1670578,"8,093","5,403",600,"3,909",96026,20645
Matale,7,4,2010,2010-07,164.5,21.875502,31.7255,0.38178092,"20,248","4,494","10,719","4,292",477813,124434
Matara,7,9,2010,2010-07,150.90001,24.2975,29.6475,0.48197177,"15,908","3,641","15,574","3,415",810141,199686
Monaragala,7,0,2010,2010-07,67.1,22.161001,34.310997,0.36309543,"27,360","4,413","14,016","4,210",439429,115416
