District,MRiceArea,MRiceYield,Year,SRiceArea,SRiceYield
Puttalam,"20,253","3,641",2011,"17,521","3,684"
Anuradhapura,"113,113","4,463",2011,"54,471","4,775"
Polonnaruwa,"65,396","3,831",2011,"61,666","5,028"
Badulla,"27,733","3,324",2011,"13,179","4,395"
Monaragala,"30,587","4,077",2011,"15,764","4,123"
Ratnapura,"16,595","3,519",2011,"11,734","3,315"
Kegalle,"8,212","2,993",2011,"7,024","2,756"
Colombo,"4,617","3,477",2012,910,"3,002"
Gampaha,"10,333","3,453",2012,"3,571","3,258"
Kalutara,"14,151","3,367",2012,"7,232","2,398"
Kandy,"13,299","4,169",2012,"5,558","3,642"
Matale,"19,177","4,384",2012,"5,638","3,686"
Nuwara Eliya,"5,482","4,002",2012,"1,144","3,087"
Galle,"15,968","3,431",2012,"4,212","3,075"
Matara,"15,196","3,653",2012,"12,476","3,050"
Hambantota,"26,759","5,198",2012,"21,403","4,919"
Jaffna,"8,755","2,680",2012,,
Kilinochchi,"20,876","3,059",2012,"5,771","4,032"
Mannar,"13,416","4,798",2012,"2,201","3,759"
Vavuniya,"15,994","3,972",2012,"1,156","3,788"
Mullaitivu,"9,727","2,994",2012,"2,588","3,590"
Batticaloa,"59,470","3,733",2012,"23,887","3,965"
Ampara,"71,877","5,026",2012,"60,864","4,729"
Trincomalee,"30,161","4,484",2012,"16,107","4,455"
Kurunegala,"62,621","3,934",2012,"41,517","3,413"
Puttalam,"13,181","4,087",2012,"6,341","3,582"
Anuradhapura,"89,253","4,982",2012,"26,568","4,049"
Polonnaruwa,"64,512","5,086",2012,"53,452","4,199"
Badulla,"27,552","4,514",2012,"11,676","4,208"
Monaragala,"31,985","4,258",2012,"13,468","3,956"
Ratnapura,"12,948","3,367",2012,"9,743","3,447"
Kegalle,"7,103","3,629",2012,"2,882","2,728"
Colombo,"4,062","3,597",2013,"1,257","2,522"
Gampaha,"11,176","3,750",2013,"4,813","2,934"
Kalutara,"13,638","3,105",2013,"6,906","2,539"
Kandy,"11,992","4,013",2013,"8,459","3,691"
Matale,"21,168","4,404",2013,"9,318","4,617"
Nuwara Eliya,"5,418","5,282",2013,"1,832","3,196"
Galle,"14,141","3,552",2013,"4,057","2,670"
Matara,"15,344","3,960",2013,"11,331","3,475"
Hambantota,"28,946","6,575",2013,"25,896","4,987"
Jaffna,"10,219","2,388",2013,-,-
Mannar,"15,663","5,509",2013,"2,248","5,694"
Vavuniya,"18,030","3,722",2013,"5,270","4,813"
Mullaitivu,"14,087","2,685",2013,,
Kilinochchi,"22,728","4,221",2013,"5,825","5,630"
Batticaloa,"66,276","2,088",2013,"27,556","4,603"
Ampara,"82,921","4,084",2013,"64,403","4,833"
Trincomalee,"35,011","3,424",2013,"23,012","4,758"
Kurunegala,"81,580","4,806",2013,"52,461","3,619"
Puttalam,"20,354","4,599",2013,"11,533","3,856"
Anuradhapura,"100,598","4,467",2013,"46,888","4,284"
Polonnaruwa,"66,372","4,889",2013,"62,503","4,725"
Badulla,"29,262","4,869",2013,"13,485","4,443"
Monaragala,"36,762","4,270",2013,"15,346","3,696"
Ratnapura,"12,586","3,766",2013,"8,465","3,941"
Kegalle,"5,093","3,916",2013,"4,725","2,783"
Colombo,"3,765","3,551",2014,983,"3,073"
Gampaha,"10,646","3,188",2014,"5,171","3,179"
Kalutara,"12,744","2,915",2014,"6,272","2,817"
Galle,"12,703","3,653",2014,"4,767","2,735"
Matara,"13,890","3,882",2014,"11,221","3,398"
Ratnapura,"11,903","4,053",2014,"7,412","3,525"
Kegalle,"6,088","3,344",2014,"3,969","2,763"
Kurunegala,"61,138","4,062",2014,"59,599","3,453"
Puttalam,"13,944","4,072",2014,"10,741","3,927"
Kandy,"12,026","4,187",2014,"8,118","3,667"
Matale,"18,578","3,956",2014,"6,507","4,169"
Nuwara Eliya,"5,031","4,403",2014,"1,839","4,274"
Badulla,"27,637","4,872",2014,"12,843","4,751"
Monaragala,"34,814","3,969",2014,"8,814","3,778"
Jaffna,"10,180","1,547",2014,,
Kilinochchi,"22,897","4,218",2014,324,"4,238"
Vavuniya,"8,377","3,408",2014,"1,557","4,507"
Mullaitivu,"12,797","2,563",2014,,
Mannar,"5,313","5,254",2014,"1,726","3,970"
Anuradhapura,"52,789","3,898",2014,"17,542","4,461"
Polonnaruwa,"62,200","4,819",2014,"34,553","4,902"
Trincomalee,"26,133","4,830",2014,"7,394","4,446"
Batticaloa,"62,204","3,024",2014,"20,282","4,137"
Ampara,"81,940","4,885",2014,"44,377","4,700"
Hambantota,"26,882","5,592",2014,"21,524","4,627"
Colombo,"3,484",3431,2015,"1,309",2275
Gampaha,"11,154",3594,2015,"4,592",3252
Kalutara,"13,020",3644,2015,"7,796",3495
Kandy,"12,135",4203,2015,"8,552",3647
Matale,"20,365",4602,2015,"10,186",4202
Nuwara Eliya,"5,237",3717,2015,"2,157",3943
Galle,"13,130",3738,2015,"5,694",2649
Matara,"14,447",4266,2015,"13,655",3861
Hambantota,"27,175",6134,2015,"26,302",5279
Jaffna,"10,038",3096,2015,-,-
Mannar,"17,321",5489,2015,"2,976",4954
Vavuniya,"16,841",4816,2015,"5,722",4683
Mullaitivu,"14,613",3330,2015,"6,969",4540
Kilinochchi,"23,675",3689,2015,"6,854",4634
Batticaloa,"61,014",2686,2015,"27,011",4811
Ampara,"83,133",4078,2015,"65,973",4906
Trincomalee,"34,470",4473,2015,"22,294",4745
Kurunegala,"79,375",3609,2015,"62,649",3562
Puttalam,"20,116",4028,2015,"15,327",3817
Anuradhapura,"99,814",4802,2015,"50,398",4612
Polonnaruwa,"74,766",5306,2015,"62,135",5131
Badulla,"27,057",4761,2015,"13,074",4459
Monaragala,"36,038",3993,2015,"15,415",4011
Ratnapura,"11,751",3924,2015,"8,311",3688
Kegalle,"6,240",3857,2015,"4,723",3437
Colombo,"2,896",3414,2016,402,2567
Gampaha,"9,989",3849,2016,"1,903",2703
Kalutara,"11,736",3358,2016,"2,799",2954
Kandy,"11,747",3764,2016,"7,565",3533
Matale,"19,858",4460,2016,"7,414",4886
Nuwara Eliya,"4,866",3779,2016,"2,017",3297
Galle,"10,174",2965,2016,"1,199",3148
Matara,"12,100",4055,2016,"6,404",3719
Hambantota,"27,848",5418,2016,"22,444",5259
Jaffna,"10,252",2352,2016,-,-
Mannar,"18,698",4999,2016,"2,416",4162
Vavuniya,"17,478",4359,2016,"3,371",4165
Mullaitivu,"16,046",3622,2016,"5,344",4297
Kilinochchi,"24,168",3959,2016,"2,442",4360
Batticaloa,"61,988",3022,2016,"27,360",3536
Ampara,"80,986",4467,2016,"64,004",4766
Trincomalee,"34,698",4570,2016,"20,963",4895
Kurunegala,"80,778",4131,2016,"50,190",3537
Puttalam,"20,090",3996,2016,"14,150",3282
Anuradhapura,"96,254",4748,2016,"38,701",4295
Polonnaruwa,"65,202",5056,2016,"56,264",5047
Badulla,"27,289",4303,2016,"12,679",4415
Monaragala,"37,683",3817,2016,"9,405",4363
Ratnapura,"11,163",3877,2016,"6,205",4172
Kegalle,"5,757",3933,2016,"2,462",3349
Colombo,"2,242",3437,2017,946,2720
Gampaha,"7,932",3340,2017,"2,728",2672
Kalutara,"8,838",3565,2017,"5,785",3228
Kandy,"8,560",4377,2017,"6,277",4162
Matale,"9,349",4523,2017,"5,457",4277
Nuwara Eliya,"4,322",3897,2017,"1,142",3619
Galle,"8,118",3543,2017,"4,919",2448
Matara,"11,579",4584,2017,"11,921",3491
Hambantota,"22,011",5253,2017,"20,967",5348
Jaffna,"10,049",2021,2017,_,_
Mannar,"14,565",4242,2017,101,2839
Vavuniya,"11,015",4334,2017,487,4361
Mullaitivu,"15,662",2957,2017,934,3209
Kilinochchi,"24,956",3983,2017,"1,429",4006
Batticaloa,"62,836",2516,2017,"24,211",3431
Ampara,"81,458",4785,2017,"46,302",4251
Trincomalee,"29,236",4356,2017,"8,977",4843
Kurunegala,"46,788",4540,2017,"15,824",3940
Puttalam,"11,536",3625,2017,"2,463",4024
Anuradhapura,"37,853",4608,2017,"8,525",3909
Polonnaruwa,"49,621",5080,2017,,
Badulla,"19,793",4401,2017,"8,668",4434
Monaragala,"25,680",3922,2017,"9,900",4502
Ratnapura,"7,955",3697,2017,"6,070",3267
Kegalle,"3,691",3996,2017,"1,676",2871
Colombo,"3,183","3,458",2018,"1,175",3259
Gampaha,"10,648","3,782",2018,"6,163",3210
Kalutara,"11,084","3,349",2018,"6,178",3034
Kandy,"11,035","3,851",2018,"6,389",4197
Matale,"16,880","4,690",2018,"7,967",4561
Nuwara Eliya,"4,705","3,417",2018,"2,522",4041
Galle,"10,775","2,986",2018,"3,945",3204
Matara,"13,488","3,808",2018,"12,223",3866
Hambantota,"34,695","5,773",2018,"24,771",6252
Jaffna,"10,424","2,055",2018,-,-
Mannar,"19,405","4,487",2018,479,4777
Vavuniya,"12,905","4,223",2018,450,4029
Mullaitivu,"19,785","3,963",2018,"1,635",4151
Kilinochchi,"26,760","4,213",2018,948,4773
Batticaloa,"64,796","3,100",2018,"25,655",4104
Ampara,"81,293","4,562",2018,"44,262",4840
Trincomalee,"38,952","4,083",2018,"20,353",4994
Kurunegala,"47,616","4,418",2018,"50,261",3899
Puttalam,"5,880","4,163",2018,"13,001",4524
Anuradhapura,"59,558","4,414",2018,"21,241",5262
Polonnaruwa,"65,403","4,848",2018,"61,559",5070
Badulla,"20,252","4,340",2018,"10,810",4673
Monaragala,"36,373","4,123",2018,"12,820",3684
Ratnapura,"10,000","3,519",2018,"7,293",4042
Kegalle,"5,793","4,372",2018,"4,663",3124
Colombo,"3,232","3,509",2019,892,3064
Gampaha,"10,344","3,717",2019,"5,500",3250
Kalutara,"10,297","3,642",2019,"5,076",2857
Kandy,"11,112","4,289",2019,"5,858",3399
Matale,"19,115","5,260",2019,"4,621",5259
Nuwara Eliya,"4,660","4,998",2019,"1,487",2715
Galle,"8,313","3,247",2019,"3,333",3012
Matara,"12,950","4,160",2019,"11,306",3240
Hambantota,"34,164","6,622",2019,"32,702",5726
Jaffna,"10,588","4,224",2019,-,-
Mannar,"19,267","5,112",2019,925,5514
Vavuniya,"19,207","5,594",2019,"2,364",5363
Mullaitivu,"16,617","4,915",2019,"5,294",5081
Kilinochchi,"26,765","3,599",2019,"9,581",5183
Batticaloa,"67,214","3,206",2019,"27,444",3683
Ampara,"79,982","5,030",2019,"56,055",5377
Trincomalee,"38,587","4,241",2019,"18,375",4978
Kurunegala,"80,370","4,711",2019,"39,148",4015
Puttalam,"20,681","4,584",2019,"8,460",4479
Anuradhapura,"109,813","5,414",2019,"33,412",5119
Polonnaruwa,"65,970","5,075",2019,"61,624",5511
Badulla,"25,670","4,708",2019,"11,270",5120
Monaragala,"36,044","4,911",2019,"14,146",5122
Ratnapura,"11,175","4,688",2019,"7,349",4834
Kegalle,"5,890","4,721",2019,"2,684",2882
Colombo,"2,864","3,521",2020,"3,219",3281
Gampaha,"9,714","4,240",2020,"10,444",3445
Kalutara,"9,556","3,641",2020,"11,653",3380
Kandy,"11,004","4,422",2020,"8,837",4099
Matale,"18,458","5,316",2020,"8,221",5034
Nuwara Eliya,"1,735","3,608",2020,"4,406",4512
Galle,"7,949","3,980",2020,"11,551",2837
Matara,"11,746","3,886",2020,"13,913",3573
Hambantota,"34,978","6,302",2020,"34,167",5986
Jaffna,"10,445","3,628",2020,-,-
Mannar,"19,367","4,827",2020,"1,610",5372
Vavuniya,"19,241","4,951",2020,"1,473",5520
Mullaitivu,"18,259","4,644",2020,"5,461",5147
Kilinochchi,"27,165","4,158",2020,"10,034",5250
Batticaloa,"66,996","3,783",2020,"28,955",4582
Ampara,"79,417","4,764",2020,"61,295",5003
Trincomalee,"38,285","4,375",2020,"22,112",5268
Kurunegala,"82,478","4,732",2020,"58,127",4397
Puttalam,"20,564","4,652",2020,"15,182",4343
Anuradhapura,"118,902","5,574",2020,"39,334",4936
Polonnaruwa,"67,016","5,404",2020,"62,373",5244
Badulla,"25,641","4,405",2020,"11,663",4973
Monaragala,"34,356","4,796",2020,"14,400",4922
Ratnapura,"10,756","5,097",2020,"11,462",4403
Kegalle,"5,356","4,558",2020,"6,314",3731
Colombo,"3,857",3723,2021,"2,521",2455
Gampaha,"12,450",3751,2021,"9,954",2991
Kalutara,"13,019",3358,2021,"9,766",3048
Kandy,"12,186",4720,2021,"9,278",2945
Matale,"18,908",5669,2021,"12,343",4639
Nuwara Eliya,"4,877",5020,2021,"2,573",3917
Galle,"13,511",3403,2021,"8,548",2897
Matara,"14,114",3585,2021,"14,082",3727
Hambantota,"34,912",5883,2021,"34,490",5814
Jaffna,"11,228",2549,2021,-,-
Mannar,"20,242",5228,2021,"2,740",4931
Vavuniya,"19,376",4253,2021,"5,012",5638
Mullaitivu,"22,781",4266,2021,"7,383",5287
Kilinochchi,"27,358",3500,2021,"10,071",4620
Batticaloa,"67,074",3809,2021,"28,502",4665
Ampara,"81,149",4780,2021,"62,860",5229
Trincomalee,"39,838",4250,2021,"25,239",5267
Kurunegala,"76,057",3775,2021,"68,573",4024
Puttalam,"19,654",3746,2021,"18,602",3950
Anuradhapura,"112,549",5098,2021,"62,104",4691
Polonnaruwa,"66,523",5220,2021,"62,626",5441
Badulla,"23,568",4859,2021,"12,098",5088
Monaragala,"34,900",4599,2021,"15,852",5034
Ratnapura,"13,358",4465,2021,"10,773",4119
Kegalle,"6,751",4163,2021,"5,477",2991
Colombo,"3,830",2521,2022,"2,880",2207
Gampaha,"11,511",2842,2022,"9,850",2493
Kalutara,"11,939","2,563",2022,"10,765",2330
Kandy,"12,211",3235,2022,"10,090",3227
Matale,"19,992",3339,2022,"12,716",2768
Nuwara Eliya,"5,044","3,922",2022,"2,873",3704
Galle,"11,235",2514,2022,"10,615",2194
Matara,"13,685",2764,2022,"13,321",2730
Hambantota,"36,104",3969,2022,"33,031",4612
Jaffna,"11,127",2176,2022,-,-
Mannar,"20,466",2662,2022,"2,275",3425
Vavuniya,"18,859",2373,2022,"5,485",4368
Mullaitivu,"19,990",2305,2022,"6,891",3558
Kilinochchi,"27,403",2485,2022,"10,333",2945
Batticaloa,"66,520",1639,2022,"28,696",2950
Ampara,"82,442",2857,2022,"62,686",3708
Trincomalee,"39,650",2662,2022,"24,491",4026
Kurunegala,"81,454",3229,2022,"56,830",2775
Puttalam,"20,930",2415,2022,"13,408",2755
Anuradhapura,"116,969",2873,2022,"59,918",3248
Polonnaruwa,"66,536",3103,2022,"58,636",4288
Badulla,"24,195",3027,2022,"12,594",3349
Monaragala,"34,361",2987,2022,"15,571",3414
Ratnapura,"13,092",3365,2022,"11,610",3356
Kegalle,"6,301",3499,2022,"6,104",2548
Colombo,"4,215",2855,2023,"2,218",2371
Gampaha,"12,348",3453,2023,"8,660",2557
Kalutara,"13,148",2735,2023,"9,132",2487
Kandy,"13,178",3610,2023,"9,900",3762
Matale,"20,274",4218,2023,"11,757",3976
Nuwara Eliya,"4,960",3905,2023,"2,439",4119
Galle,"12,319",2532,2023,"5,683",2169
Matara,"14,567",3406,2023,"12,972",2999
Hambantota,"37,347",5468,2023,"34,947",5087
Jaffna,"11,408",2889,2023,-,-
Mannar,"22,117",3497,2023,"2,374",4826
Vavuniya,"23,503",2861,2023,"5,703",4071
Mullaitivu,"25,652",3152,2023,"5,752",4418
Kilinochchi,"27,883",3258,2023,"6,882",3988
Batticaloa,"71,433",3088,2023,"33,566",3557
Ampara,"80,553",4172,2023,"63,184",4338
Trincomalee,"48,603",3138,2023,"28,649",4771
Kurunegala,"78,253",3760,2023,"65,288",3447
Puttalam,"19,369",3570,2023,"17,672",3810
Anuradhapura,"118,818",3849,2023,"65,524",4302
Polonnaruwa,"69,487",4416,2023,"66,033",4918
Badulla,"25,766",3662,2023,"13,199",4554
Monaragala,"35,628",4003,2023,"16,561",4026
Ratnapura,"14,641",3761,2023,"10,487",4195
Kegalle,"7,131",3581,2023,"6,494",2974
