District,Month,Cases,Year,YearMonth,Precipitation_mm,Temp_Min_C,Temp_Max_C,Soil_Moisture_0_7cm,MRiceArea,MRiceYield,SRiceArea,SRiceYield,Population,Households,mean_temp,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19
Ampara,1,1,2008,2008-01,177.6,19.8505,29.6005,0.3803414,"64,490","4,864","60,168","4,927",620469,152158,24.7255,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2
Ampara,2,3,2008,2008-02,121.0,18.9005,28.9005,0.3622127,"64,490","4,864","60,168","4,927",620469,152158,23.9005,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2
Ampara,3,0,2008,2008-03,293.6,21.8005,30.7505,0.3854422,"64,490","4,864","60,168","4,927",620469,152158,26.2755,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2
Ampara,4,1,2008,2008-04,119.00001,23.0505,32.5505,0.3594764,"64,490","4,864","60,168","4,927",620469,152158,27.8005,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2
Ampara,5,4,2008,2008-05,34.600002,24.3005,34.5505,0.2699086,"64,490","4,864","60,168","4,927",620469,152158,29.4255,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2
Ampara,6,0,2008,2008-06,87.2,24.5005,34.0505,0.30991805,"64,490","4,864","60,168","4,927",620469,152158,29.2755,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2
Ampara,7,1,2008,2008-07,55.6,24.2005,34.200497,0.2461922,"64,490","4,864","60,168","4,927",620469,152158,29.200498500000002,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2
Ampara,8,0,2008,2008-08,117.299995,23.7505,34.8505,0.26680374,"64,490","4,864","60,168","4,927",620469,152158,29.3005,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2
Ampara,9,3,2008,2008-09,43.9,23.5505,33.8005,0.28746668,"64,490","4,864","60,168","4,927",620469,152158,28.6755,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2
Ampara,10,1,2008,2008-10,154.3,22.1005,32.6005,0.32869622,"64,490","4,864","60,168","4,927",620469,152158,27.350499999999997,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2
Ampara,11,0,2008,2008-11,183.9,22.0005,30.7005,0.35586253,"64,490","4,864","60,168","4,927",620469,152158,26.3505,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2
Ampara,12,1,2008,2008-12,228.6,21.8505,28.7505,0.38370162,"64,490","4,864","60,168","4,927",620469,152158,25.3005,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2
Ampara,1,2,2009,2009-01,181.70001,19.6005,28.3005,0.35830376,"69,979","5,158","46,227","4,964",627579,154918,23.950499999999998,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005
Ampara,2,3,2009,2009-02,16.7,19.6005,30.8005,0.27719942,"69,979","5,158","46,227","4,964",627579,154918,25.200499999999998,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005
Ampara,3,1,2009,2009-03,109.799995,20.4005,31.7505,0.31213844,"69,979","5,158","46,227","4,964",627579,154918,26.075499999999998,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005
Ampara,4,0,2009,2009-04,93.7,23.7005,33.200497,0.33329305,"69,979","5,158","46,227","4,964",627579,154918,28.450498500000002,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005
Ampara,5,0,2009,2009-05,52.0,25.0505,34.650497,0.25457257,"69,979","5,158","46,227","4,964",627579,154918,29.8504985,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005
Ampara,6,0,2009,2009-06,31.6,25.0005,35.1005,0.22692777,"69,979","5,158","46,227","4,964",627579,154918,30.0505,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005
Ampara,7,0,2009,2009-07,16.800001,24.9005,36.200497,0.17140457,"69,979","5,158","46,227","4,964",627579,154918,30.5504985,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005
Ampara,8,2,2009,2009-08,80.1,24.2505,35.450497,0.24768278,"69,979","5,158","46,227","4,964",627579,154918,29.8504985,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005
Ampara,9,1,2009,2009-09,53.1,24.5505,34.6005,0.2764514,"69,979","5,158","46,227","4,964",627579,154918,29.575499999999998,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005
Ampara,10,3,2009,2009-10,64.8,23.3005,34.5005,0.23144624,"69,979","5,158","46,227","4,964",627579,154918,28.9005,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005
Ampara,11,0,2009,2009-11,276.1,23.2505,29.8005,0.39586803,"69,979","5,158","46,227","4,964",627579,154918,26.5255,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005
Ampara,12,2,2009,2009-12,313.6,22.9505,29.3505,0.40567473,"69,979","5,158","46,227","4,964",627579,154918,26.1505,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005
Ampara,1,11,2010,2010-01,122.4,21.6005,29.0005,0.3563387,"69,861","5,368","59,255","4,877",634771,157727,25.3005,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.825499499999996,25.58383333333333,1790.5,478.1,29.4,93.44591051432599,1005.9,141.89999999999998,232.1,629.9
Ampara,2,4,2010,2010-02,29.4,21.7005,30.4005,0.3327098,"69,861","5,368","59,255","4,877",634771,157727,26.0505,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.825499499999996,25.58383333333333,1790.5,478.1,29.4,93.44591051432599,1005.9,141.89999999999998,232.1,629.9
Ampara,3,2,2010,2010-03,36.2,22.2505,32.5505,0.22170968,"69,861","5,368","59,255","4,877",634771,157727,27.4005,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.825499499999996,25.58383333333333,1790.5,478.1,29.4,93.44591051432599,1005.9,141.89999999999998,232.1,629.9
Ampara,4,1,2010,2010-04,76.3,24.6005,33.0505,0.29514027,"69,861","5,368","59,255","4,877",634771,157727,28.825499999999998,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.825499499999996,25.58383333333333,1790.5,478.1,29.4,93.44591051432599,1005.9,141.89999999999998,232.1,629.9
Ampara,5,6,2010,2010-05,92.0,25.0005,34.3505,0.33624595,"69,861","5,368","59,255","4,877",634771,157727,29.6755,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.825499499999996,25.58383333333333,1790.5,478.1,29.4,93.44591051432599,1005.9,141.89999999999998,232.1,629.9
Ampara,6,7,2010,2010-06,97.0,25.5505,34.400497,0.31327775,"69,861","5,368","59,255","4,877",634771,157727,29.9754985,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.825499499999996,25.58383333333333,1790.5,478.1,29.4,93.44591051432599,1005.9,141.89999999999998,232.1,629.9
Ampara,7,0,2010,2010-07,43.1,24.6005,35.0505,0.27567473,"69,861","5,368","59,255","4,877",634771,157727,29.825499999999998,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.825499499999996,25.58383333333333,1790.5,478.1,29.4,93.44591051432599,1005.9,141.89999999999998,232.1,629.9
Ampara,8,1,2010,2010-08,133.1,23.9005,34.900497,0.28744087,"69,861","5,368","59,255","4,877",634771,157727,29.4004985,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.825499499999996,25.58383333333333,1790.5,478.1,29.4,93.44591051432599,1005.9,141.89999999999998,232.1,629.9
Ampara,9,0,2010,2010-09,155.1,24.1005,33.5505,0.3485931,"69,861","5,368","59,255","4,877",634771,157727,28.825499999999998,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.825499499999996,25.58383333333333,1790.5,478.1,29.4,93.44591051432599,1005.9,141.89999999999998,232.1,629.9
Ampara,10,0,2010,2010-10,144.2,23.0005,33.1005,0.33755648,"69,861","5,368","59,255","4,877",634771,157727,28.0505,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.825499499999996,25.58383333333333,1790.5,478.1,29.4,93.44591051432599,1005.9,141.89999999999998,232.1,629.9
Ampara,11,1,2010,2010-11,383.6,22.6505,30.5505,0.4000639,"69,861","5,368","59,255","4,877",634771,157727,26.6005,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.825499499999996,25.58383333333333,1790.5,478.1,29.4,93.44591051432599,1005.9,141.89999999999998,232.1,629.9
Ampara,12,3,2010,2010-12,478.1,21.2005,29.6005,0.40123522,"69,861","5,368","59,255","4,877",634771,157727,25.4005,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.825499499999996,25.58383333333333,1790.5,478.1,29.4,93.44591051432599,1005.9,141.89999999999998,232.1,629.9
Ampara,1,8,2011,2011-01,557.39996,20.9005,28.8005,0.3967016,"70,819","3,333","61,904","4,863",642045,160588,24.8505,27.51924975,9.545832833333334,58.563402394082246,190.57961522324416,35.150497,18.8505,16.299997,25.06716666666667,29.46716616666667,29.46716616666667,25.06716666666667,2471.4999320000006,557.39996,20.1,88.76020415666636,1435.89993,134.400002,134.400002,1435.89993
Ampara,2,12,2011,2011-02,471.49997,21.8005,29.8505,0.36907738,"70,819","3,333","61,904","4,863",642045,160588,25.825499999999998,27.51924975,9.545832833333334,58.563402394082246,190.57961522324416,35.150497,18.8505,16.299997,25.06716666666667,29.46716616666667,29.46716616666667,25.06716666666667,2471.4999320000006,557.39996,20.1,88.76020415666636,1435.89993,134.400002,134.400002,1435.89993
Ampara,3,13,2011,2011-03,101.2,20.6005,31.5005,0.34898788,"70,819","3,333","61,904","4,863",642045,160588,26.0505,27.51924975,9.545832833333334,58.563402394082246,190.57961522324416,35.150497,18.8505,16.299997,25.06716666666667,29.46716616666667,29.46716616666667,25.06716666666667,2471.4999320000006,557.39996,20.1,88.76020415666636,1435.89993,134.400002,134.400002,1435.89993
Ampara,4,12,2011,2011-04,144.7,23.4005,32.5505,0.32111666,"70,819","3,333","61,904","4,863",642045,160588,27.9755,27.51924975,9.545832833333334,58.563402394082246,190.57961522324416,35.150497,18.8505,16.299997,25.06716666666667,29.46716616666667,29.46716616666667,25.06716666666667,2471.4999320000006,557.39996,20.1,88.76020415666636,1435.89993,134.400002,134.400002,1435.89993
Ampara,5,7,2011,2011-05,38.600002,24.8005,34.0005,0.30105108,"70,819","3,333","61,904","4,863",642045,160588,29.4005,27.51924975,9.545832833333334,58.563402394082246,190.57961522324416,35.150497,18.8505,16.299997,25.06716666666667,29.46716616666667,29.46716616666667,25.06716666666667,2471.4999320000006,557.39996,20.1,88.76020415666636,1435.89993,134.400002,134.400002,1435.89993
Ampara,6,3,2011,2011-06,20.1,23.7005,35.150497,0.21079445,"70,819","3,333","61,904","4,863",642045,160588,29.425498500000003,27.51924975,9.545832833333334,58.563402394082246,190.57961522324416,35.150497,18.8505,16.299997,25.06716666666667,29.46716616666667,29.46716616666667,25.06716666666667,2471.4999320000006,557.39996,20.1,88.76020415666636,1435.89993,134.400002,134.400002,1435.89993
