District,Month,Cases,Year,YearMonth,Precipitation_mm,Temp_Min_C,Temp_Max_C,Soil_Moisture_0_7cm,MRiceArea,MRiceYield,SRiceArea,SRiceYield,Population,Households,mean_temp,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,Incidence_per_100k
Ampara,1,1.0,2008,2008-01,177.6,19.8505,29.6005,0.3803414,64490.0,4864.0,60168.0,4927.0,620469.0,152158.0,24.7255,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2,0.1611684064796146
Ampara,2,3.0,2008,2008-02,121.0,18.9005,28.9005,0.3622127,64490.0,4864.0,60168.0,4927.0,620469.0,152158.0,23.9005,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2,0.4835052194388439
Ampara,3,0.0,2008,2008-03,293.6,21.8005,30.7505,0.3854422,64490.0,4864.0,60168.0,4927.0,620469.0,152158.0,26.2755,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2,0.0
Ampara,4,1.0,2008,2008-04,119.00001,23.0505,32.5505,0.3594764,64490.0,4864.0,60168.0,4927.0,620469.0,152158.0,27.8005,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2,0.1611684064796146
Ampara,5,4.0,2008,2008-05,34.600002,24.3005,34.5505,0.2699086,64490.0,4864.0,60168.0,4927.0,620469.0,152158.0,29.4255,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2,0.6446736259184584
Ampara,6,0.0,2008,2008-06,87.2,24.5005,34.0505,0.30991805,64490.0,4864.0,60168.0,4927.0,620469.0,152158.0,29.2755,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2,0.0
Ampara,7,1.0,2008,2008-07,55.6,24.2005,34.200497,0.2461922,64490.0,4864.0,60168.0,4927.0,620469.0,152158.0,29.2004985,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2,0.1611684064796146
Ampara,8,0.0,2008,2008-08,117.299995,23.7505,34.8505,0.26680374,64490.0,4864.0,60168.0,4927.0,620469.0,152158.0,29.3005,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2,0.0
Ampara,9,3.0,2008,2008-09,43.9,23.5505,33.8005,0.28746668,64490.0,4864.0,60168.0,4927.0,620469.0,152158.0,28.6755,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2,0.4835052194388439
Ampara,10,1.0,2008,2008-10,154.3,22.1005,32.6005,0.32869622,64490.0,4864.0,60168.0,4927.0,620469.0,152158.0,27.3505,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2,0.1611684064796146
Ampara,11,0.0,2008,2008-11,183.9,22.0005,30.7005,0.35586253,64490.0,4864.0,60168.0,4927.0,620469.0,152158.0,26.3505,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2,0.0
Ampara,12,1.0,2008,2008-12,228.6,21.8505,28.7505,0.38370162,64490.0,4864.0,60168.0,4927.0,620469.0,152158.0,25.3005,27.29841654166667,9.620833083333332,60.31870271682342,196.1285923488574,34.8505,18.9005,15.949999999999996,24.967166666666667,29.3004995,29.3004995,24.642166666666668,1616.600007,293.6,34.600002,57.5966858949204,592.2,177.400002,177.400002,527.2,0.1611684064796146
Ampara,1,2.0,2009,2009-01,181.70001,19.6005,28.3005,0.35830376,69979.0,5158.0,46227.0,4964.0,627579.0,154918.0,23.9505,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005,0.3186849783055201
Ampara,2,3.0,2009,2009-02,16.7,19.6005,30.8005,0.27719942,69979.0,5158.0,46227.0,4964.0,627579.0,154918.0,25.2005,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005,0.4780274674582802
Ampara,3,1.0,2009,2009-03,109.799995,20.4005,31.7505,0.31213844,69979.0,5158.0,46227.0,4964.0,627579.0,154918.0,26.0755,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005,0.15934248915276006
Ampara,4,0.0,2009,2009-04,93.7,23.7005,33.200497,0.33329305,69979.0,5158.0,46227.0,4964.0,627579.0,154918.0,28.4504985,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005,0.0
Ampara,5,0.0,2009,2009-05,52.0,25.0505,34.650497,0.25457257,69979.0,5158.0,46227.0,4964.0,627579.0,154918.0,29.8504985,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005,0.0
Ampara,6,0.0,2009,2009-06,31.6,25.0005,35.1005,0.22692777,69979.0,5158.0,46227.0,4964.0,627579.0,154918.0,30.0505,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005,0.0
Ampara,7,0.0,2009,2009-07,16.800001,24.9005,36.200497,0.17140457,69979.0,5158.0,46227.0,4964.0,627579.0,154918.0,30.5504985,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005,0.0
Ampara,8,2.0,2009,2009-08,80.1,24.2505,35.450497,0.24768278,69979.0,5158.0,46227.0,4964.0,627579.0,154918.0,29.8504985,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005,0.3186849783055201
Ampara,9,1.0,2009,2009-09,53.1,24.5505,34.6005,0.2764514,69979.0,5158.0,46227.0,4964.0,627579.0,154918.0,29.5755,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005,0.15934248915276006
Ampara,10,3.0,2009,2009-10,64.8,23.3005,34.5005,0.23144624,69979.0,5158.0,46227.0,4964.0,627579.0,154918.0,28.9005,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005,0.4780274674582802
Ampara,11,0.0,2009,2009-11,276.1,23.2505,29.8005,0.39586803,69979.0,5158.0,46227.0,4964.0,627579.0,154918.0,26.5255,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005,0.0
Ampara,12,2.0,2009,2009-12,313.6,22.9505,29.3505,0.40567473,69979.0,5158.0,46227.0,4964.0,627579.0,154918.0,26.1505,27.927582833333336,9.762498999999998,58.810245568116656,222.6402559811204,36.200497,19.6005,16.599997,25.542166666666663,30.150499,30.150499,25.075499999999995,1290.000006,313.6,16.7,91.9387694324358,771.4000100000001,100.400001,100.400001,308.200005,0.3186849783055201
Ampara,1,11.0,2010,2010-01,122.4,21.6005,29.0005,0.3563387,69861.0,5368.0,59255.0,4877.0,634771.0,157727.0,25.3005,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.8254995,25.58383333333333,1790.5,478.1,29.4,93.445910514326,1005.9,141.89999999999998,232.1,629.9,1.7329084031879212
Ampara,2,4.0,2010,2010-02,29.4,21.7005,30.4005,0.3327098,69861.0,5368.0,59255.0,4877.0,634771.0,157727.0,26.0505,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.8254995,25.58383333333333,1790.5,478.1,29.4,93.445910514326,1005.9,141.89999999999998,232.1,629.9,0.6301485102501532
Ampara,3,2.0,2010,2010-03,36.2,22.2505,32.5505,0.22170968,69861.0,5368.0,59255.0,4877.0,634771.0,157727.0,27.4005,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.8254995,25.58383333333333,1790.5,478.1,29.4,93.445910514326,1005.9,141.89999999999998,232.1,629.9,0.3150742551250766
Ampara,4,1.0,2010,2010-04,76.3,24.6005,33.0505,0.29514027,69861.0,5368.0,59255.0,4877.0,634771.0,157727.0,28.8255,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.8254995,25.58383333333333,1790.5,478.1,29.4,93.445910514326,1005.9,141.89999999999998,232.1,629.9,0.1575371275625383
Ampara,5,6.0,2010,2010-05,92.0,25.0005,34.3505,0.33624595,69861.0,5368.0,59255.0,4877.0,634771.0,157727.0,29.6755,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.8254995,25.58383333333333,1790.5,478.1,29.4,93.445910514326,1005.9,141.89999999999998,232.1,629.9,0.9452227653752299
Ampara,6,7.0,2010,2010-06,97.0,25.5505,34.400497,0.31327775,69861.0,5368.0,59255.0,4877.0,634771.0,157727.0,29.9754985,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.8254995,25.58383333333333,1790.5,478.1,29.4,93.445910514326,1005.9,141.89999999999998,232.1,629.9,1.102759892937768
Ampara,7,0.0,2010,2010-07,43.1,24.6005,35.0505,0.27567473,69861.0,5368.0,59255.0,4877.0,634771.0,157727.0,29.8255,27.944249750000008,9.195832833333332,66.39590493381469,174.49966342114905,35.0505,21.2005,13.849999999999998,26.683833333333336,27.4255,29.8254995,25.58383333333333,1790.5,478.1,29.4,93.445910514326,1005.9,141.89999999999998,232.1,629.9,0.0
