District,Month_Count
Ampara,216
Anuradhapura,216
Badulla,216
Batticaloa,216
Colombo,216
Galle,216
Gampaha,216
Hambantota,216
Jaffna,216
Kalutara,216
Kandy,216
Kegalle,216
Kilinochchi,216
Kurunegala,216
Mannar,216
Matale,216
Matara,216
Monaragala,216
Mullaitivu,216
Nuwara Eliya,216
Polonnaruwa,216
Puttalam,216
Ratnapura,216
Trincomalee,216
Vavuniya,216
